index,title,company,Skills,city,state,posted_date,type,salary,type,sal_min,sal_max,sal_median,origin
50,Data Scientist-100% Remote only W2 Allowed,Jade Biz Services,Python,,,3/28/2023,"Contract: W2, 6 month(s)",,,,,,dice.com
51,Data Scientist,"Engage Partners, Inc.",AI,New York,NY,3/27/2023,Full Time,Depends on Experience,,,,,dice.com
52,Data Scientist,Darwin Recruitment,Data Engineering,Chicago,IL,4/15/2023,Full Time,$100000.00 - $120000.00 per annum,yearly,100000,120000,110000,dice.com
53,Data Scientist,ABN TECH CORP,"Python, ML, Arima, Sarima",San Francisco,CA,4/14/2023,"Contract: Corp-To-Corp, W2, Independent, 12 Month(s)",$60 - $70,yearly,60000,70000,65000,dice.com
54,Data Scientist,"Technology Solutions Provider, Inc.","Data Science, Python",,,4/13/2023,Full Time,Depends on Experience,,,,,dice.com
55,Senior Data Scientist with Python,"Pyramid Consulting, Inc.","Data Scientist, Python, AI, ML",Irving,TX,3/16/2023,"Contract: Corp-To-Corp, W2, Independent, 30 Month(s)",$70 - $90,yearly,70000,90000,80000,dice.com
56,Data Scientist w/ MMM or MTA,Randstad Technologies,"Data Scientist ,  MMM or MTA",San Bruno,CA,3/24/2023,Contract: W2,USD60 - USD80,hourly,60000,80000,70000,dice.com
57,"Geospatial Data Scientist, Junior to Senior Level, TS SCI Clearance",EMW Staffing Solutions LLC,Geospatial,Springfield,VA,3/28/2023,Full Time,"$85,000 - $130,000",yearly,85000,130000,107500,dice.com
58,Data Scientist,Denken Solutions,"Classical ML, Statistics Structured, Performance Metrics, Data Pre-Processing, Neural or NLP, AB Testing",,WI,4/14/2023,"Contract: W2, Corp-To-Corp",USD Depends on Experience,,,,,dice.com
59,Remote Job Opportunity: Immediate need for a talented Data Analyst/ Data Scientist.,"Pyramid Consulting, Inc.",Data Analyst,,,4/6/2023,Full Time,"$100,000 - $120,000",yearly,100000,120000,110000,dice.com
60,Data Scientist,Amtex System Inc.,"Python, Java, AWS, GCP, C/C++, Data, Perl, BQ, Scientist, Vertex AI",San Jose,CA,4/13/2023,"Contract: Corp-To-Corp, 6 month(s)+",,,,,,dice.com
61,"Data Scientist, Candidates Must be local to Georgia",Taras Technology LLC,"Data Scientist, NLP, Deep Learning, Text Mining, Probabilistic, Pyspark, Java, Hadoop, Hive, Spark",Alpharetta,GA,4/14/2023,"Contract: W2, Corp-To-Corp, 8 Month(s)",$65 - $70,yearly,65000,70000,67500,dice.com
62,Data Scientist,"Zachary Piper Solutions, LLC",,McLean,VA,4/15/2023,Full Time,,,,,,dice.com
63,Lead Data Scientist,Xcelligen Systems Inc.,"Python, Postgres, Tableau, Oracle, SQL, OCR, AI, Business Intelligence, NLP, ETL, AI",,,3/20/2023,"Contract: Corp-To-Corp, W2, Independent",Depends on Experience,,,,,dice.com
64,"Data Scientist w/database technologies, including Oracle, SAP, DB2, Teradata, SQL Server, SAP HANA, MySQL 100% Remote",Zeektek,"Data Scientist, Python, Teradata, Oracle, SQL Server",,,4/14/2023,"Contract: W2, 6 Month(s)",$70 - $75,yearly,70000,75000,72500,dice.com
65,Data Scientist,Eliassen Group,,Charlotte,NC,4/13/2023,Contract: W2,,,,,,dice.com
66,"Data Scientist - Hybrid onsite (Tampa, FL)",Xoriant Corporation,"Data Science/Data Scientist, ML/ML, NLP, Oracle, Python/R, SQL, Big Data, Data Analyst",Tampa,FL,3/23/2023,"Contract: W2, 12 Month(s)",$80 - $85,yearly,80000,85000,82500,dice.com
67,"Data Scientist (Machine Learning) || Sunnyvale, CA (Onsite from Day1) || Contract",Spar Information Systems,"Python, ML",Sunnyvale,CA,4/14/2023,"Contract: W2, Corp-To-Corp, 12+ Month(s)",,,,,,dice.com
68,Staff Data Scientist,High Country Search Group,"Data Science, Phd, MLops, NLP",New York,NY,4/11/2023,Full Time,"$170,000 - $215,000",yearly,170000,215000,192500,dice.com
69,Data Scientist,Yash Solutions LLC,"Data Scientist, ML, Python, AWS, Sagemaker, Athena, Glue, SQL",Greenville,SC,2/28/2023,Contract: W2,Depends on Experience,,,,,dice.com
70,Data Scientist,Kforce Technology Staffing,,Cincinnati,OH,4/13/2023,"Contract: W2, Temp",$47 - $51 hourly,hourly,47,51,49,dice.com
71,Data Scientist,IT Concepts Inc,"Statistical Analysis, ML, ML Model, Natural Language Processing, NLP, SQL, Advanced Queries, Python, SAS, R Program, Enterprise Data, Data Manipulation, Data Visualization, Data Analytics, Tableau",Woodlawn,MD,3/2/2023,Full Time,"$100,000 - $140,000",yearly,100000,140000,120000,dice.com
72,Data Scientist,Kforce Technology Staffing,,Redmond,WA,4/11/2023,"Contract: W2, Temp",$55 - $70 hourly,hourly,55,70,62.5,dice.com
73,Data Scientist,Peterson Technology Partners,Data Mining,,,3/31/2023,"Contract: Corp-To-Corp, W2, Independent, 12 Month(s)",Depends on Experience,,,,,dice.com
74,Data Analyst- Machine Learning / Data scientist,Purple Drive Technologies LLC,"C+, Clustering, C++, D3.JS",Austin,TX,4/11/2023,Full Time,Depends on Experience,,,,,dice.com
75,AI Data Scientist,Meridianservices LLC.,Data Scientist,Dallas,TX,2/9/2023,Full Time,Depends on Experience,,,,,dice.com
76,Data Scientist - Fulltime,CitiusTech,"Data Science, Elastic Search, Mongodb, Multivariate Testing, Predictive Analytics, Statistical Analysis, Pandas, Pig, Python, Scala, Data Modeling, ML",,,4/11/2023,Full Time,Depends on Experience,,,,,dice.com
77,Data Scientist,Indotronix International Corp,"Analytics, Python, SQL",Portland,OR,4/4/2023,"Contract: W2, 6 Month(s)",$100 - $110,yearly,100000,110000,105000,dice.com
78,Data Scientist,CMCI,"Data Scientist, Business Objects, Cluster Analysis",,,3/6/2023,Full Time,Depends on Experience,,,,,dice.com
79,Data Scientist,Apex Systems,,Richmond,VA,4/6/2023,Full Time,,,,,,dice.com
80,Data Scientist - NLP,ADDSOURCE,"Python, SQL, Kafka, NLP",Jersey City,NJ,4/11/2023,"Contract: Corp-To-Corp, long term",,,,,,dice.com
81,Data Scientist,Motion Recruitment,,Los Angeles,CA,4/7/2023,Full Time,,,,,,dice.com
82,Sr Data Scientist,"ATR International, Inc.",,San Mateo,CA,4/14/2023,Full Time,,,,,,dice.com
83,Contract Data Scientist,ALTA IT Services,"Power BI, Tableau, Cloud Computing, Automated Pipeline Building, Data Modeling, SQL, Python",Cincinnati,OH,4/6/2023,Contract: W2,Up to $80,hourly,,80,80,dice.com
84,,,,,,,,,,,,,dice.com
85,,,,,,,,,,,,,dice.com
86,Data Scientist,Xcelo Group Inc,,Dallas,TX,4/4/2023,"Full Time, Part Time, Contract: W2, Independent, Corp-To-Corp",,,,,,dice.com
87,,,,,,,,,,,,,dice.com
88,Data Scientist,Robert Half,"Python, Computer, SQL, Mathematical",Chicago,IL,4/14/2023,Full Time,$100000.00 to $125000.00 yearly,yearly,100000,125000,112500,dice.com
89,Data Scientist,Dew Software,"Data Scientist, ML, Communication Skills, Data Architecture, Problem - Solving Skills, Python, Data Engineering",,,2/14/2023,Contract: W2,Depends on Experience,,,,,dice.com
90,,,,,,,,,,,,,dice.com
91,,,,,,,,,,,,,dice.com
92,Data Scientist 2,Kforce Technology Staffing,,Redmond,WA,4/10/2023,"Contract: W2, Temp",$40 - $52 hourly,hourly,40,52,46,dice.com
93,Data Scientist,"TSR Consulting Services, Inc.","Python, Matlab, Oracle, SQL, Consulting",Princeton,NJ,4/13/2023,"Contract: Corp-To-Corp, W2, Independent",,,,,,dice.com
94,,,,,,,,,,,,,dice.com
95,,,,,,,,,,,,,dice.com
96,Data Scientist Lead,Wipro Ltd.,,Tampa,FL,4/14/2023,Full Time,,,,,,dice.com
97,Senior Data Scientist,Eliassen Group,,Herndon,VA,4/7/2023,Contract: W2,,,,,,dice.com
98,Data Scientist,Odesus,"AI, AI, Python, R, SQL, DBMS, SAS, Stata, SPSS, Sagemaker, Tensorflow, Kafka, Spark, Hadoop",Los Angeles,CA,4/10/2023,Full Time,"$120,000 - $175,000",yearly,120000,175000,147500,dice.com
99,Lead Data Scientist,Eliassen Group,,Herndon,VA,4/7/2023,Contract: W2,,,,,,dice.com
100,Data Scientist,Jobot,,New York,NY,4/4/2023,Full Time,"$120,000 - $140,000 per year",yearly,120000,140000,130000,dice.com
101,Data Scientist II,Pax8,,Greenwood Village,CO,4/8/2023,Full Time,,,,,,dice.com
102,Data Scientist,Robert Half,"SQL, Excel, Python",Cherry Hill,NJ,4/9/2023,Full Time,$100000.00 to $120000.00 yearly,yearly,100000,120000,110000,dice.com
103,Data Scientist,Motion Recruitment,,Houston ,TX,3/29/2023,Full Time,,,,,,dice.com
104,Data Scientist,Maddisoft,,Houston,TX,3/28/2023,"Full Time, Part Time, Contract: W2, Independent, Corp-To-Corp",,,,,,dice.com
105,Senior Microbiome Data Scientist,Motion Recruitment,,,,4/13/2023,Full Time,,,,,,dice.com
106,Data Scientist,Apex Systems,,Indianapolis,IN,3/28/2023,Full Time,,,,,,dice.com
107,Data Scientist,ApTask,"Python, SQL, Bert, NLP",,,4/11/2023,"Contract: Corp-To-Corp, 12 Month(s)",$60 - $70,yearly,60000,70000,65000,dice.com
108,Data Scientist (Energy Preferred),Jobot,,Herndon,VA,4/12/2023,Full Time,"$140,000 - $170,000 per year",yearly,140000,170000,155000,dice.com
109,Data Scientist (HDIP) - Hybrid,Irvine Technology Corporation (ITC),,Los Angeles,CA,4/11/2023,Full Time,"USD120,000 - USD175,000",yearly,120000,175000,147500,dice.com
110,Data Scientist Advisor,Kforce Technology Staffing,,Fairfax,VA,4/3/2023,"Contract: W2, Temp",$59.50 - $80.50 hourly,hourly,59.5,80.5,70,dice.com
111,,,,,,,,,,,,,dice.com
112,Data Scientist,E-Deft,,,,3/28/2023,"Contract: Corp-To-Corp, Independent, W2",,,,,,dice.com
113,Data Scientist Senior,SAIC,"Research, Laboratory, Modeling, Computer, Engineering, Python, Security",Monterey,CA,4/13/2023,Full Time,,,,,,dice.com
114,Data Scientist,Novateur Technologies Inc.,"Statistical Modeling, Bayesian Model, Impact Model",Dallas,TX,4/4/2023,"Contract: W2, Independent, Corp-To-Corp, 6 Month(s)",Depends on Experience,,,,,dice.com
115,AVP & Data Scientist,Travelers,,Hartford,CT,4/12/2023,Full Time,"$164,600.00 - $271,500.00",yearly,164600,271500,218050,dice.com
116,,,,,,,,,,,,,dice.com
117,,,,,,,,,,,,,dice.com
118,Data Scientist,Global Data Consultants,,Carlisle,PA,3/24/2023,Full Time,,,,,,dice.com
119,Senior Data Scientist,Aerospace Corporation,,Chantilly,VA,4/6/2023,Full Time,,,,,,dice.com
120,Scientific - Data Scientist,Net2Source Inc.,,Lawrenceville,NJ,4/12/2023,"Contract: Independent, W2, 8+ mo(s)",$1 - $64.28 hr,hourly,1,64.28,32.64,dice.com
121,Data Scientist (TS/SCI with Full Scope Poly),Jefferson Frank,"AI, ML, Data",Falls Church,VA,4/12/2023,Full Time,$200000 - $220000 per annum,yearly,200000,220000,210000,dice.com
122,Sr. Data Scientist,Atyeti,"Python, AWS, Scala, Spark",Washington D.C.,DC,4/10/2023,"Contract: Corp-To-Corp, Independent, W2, 24 Month(s)",$70 - $80,yearly,70000,80000,75000,dice.com
123,Sr. Data Scientist,Atyeti,"Python, Scala, Spark, ML, AWS",,,4/10/2023,"Contract: W2, Independent",Depends on Experience,,,,,dice.com
124,Sr. Data Scientist I,Pax8,,Greenwood Village,CO,4/8/2023,Full Time,,,,,,dice.com
125,Data Scientist,TEKHiring,ML,Austin,TX,3/17/2023,"Contract: W2, Independent, 1 Year(s)",$40 - $50,yearly,40000,50000,45000,dice.com
126,Data Scientist,Robert Half,"Python, Mathematical",Johnston,IA,4/4/2023,"Contract: Independent, W2",,,,,,dice.com
127,Sr Data Scientist,W3Global,"ML, Python, SQL, Neural Networks, Natural Language Processing/Computer Vision, Tensorflow, Pytorch, Sklearn, Rest APIs, Docker/Kubernetes, Azure/AWS Clouds",Santa Clara,CA,4/12/2023,Full Time,USD120000.0/ANNUAL - USD160000.0/ANNUAL,yearly,120000,160000,140000,dice.com
128,Senior Data Scientist - Geospatial,Darwin Recruitment,Data Science,Dallas,TX,3/21/2023,Full Time,$140000.00 - $180000.00 per annum,yearly,140000,180000,160000,dice.com
129,Principle Data Scientist,ADDSOURCE,"Kafka, Hadoop, ML, Docker, AI Solution",Jersey City,NJ,4/10/2023,Full Time,,,,,,dice.com
130,Senior Data Scientist - Telematics,"Capgemini America, Inc.","Telematics, Python, Snowflake, Oracle, AWS Services",Hartford,CT,4/11/2023,Full Time,Depends on Experience,,,,,dice.com
131,"Data Scientist, Underwriting Automation and Artificial Intelligence",Travelers,,Hartford,CT,4/14/2023,Full Time,"$121,700.00 - $200,800.00",yearly,121700,200800,161250,dice.com
132,Senior Data Scientist III,"Korn Ferry/RELX, Inc. RPO",Legal,,,4/11/2023,Full Time,Depends on Experience,,,,,dice.com
133,Data Scientist - Fortune 500 Company,Motion Recruitment,,Irvine ,CA,4/7/2023,Full Time,,,,,,dice.com
134,Data Scientist - Fortune 500 Company,Motion Recruitment,,Houston,TX,4/7/2023,Full Time,,,,,,dice.com
135,Data Scientist - Fortune 500 Company,Motion Recruitment,,San Diego,CA,4/7/2023,Full Time,,,,,,dice.com
136,Data Scientist,Veear,"NLP, SQL, Tableau",Sunnyvale,CA,3/24/2023,"Contract: W2, Corp-To-Corp, Independent, 12 Month(s)",$45 - $90,yearly,45000,90000,67500,dice.com
137,Data Scientist - ML - Computer Vision,Eliassen Group,,Charlotte,NC,4/7/2023,Contract: W2,,,,,,dice.com
138,Data Scientist,Info Dinamica Inc,"ML, Image Filtering, BInary Morphology, Perspective / Affine Transformation, Edge Detection, Tracking, Regression, Unsupervised Learning, Pca",Santa Clara,CA,3/28/2023,"Contract: W2, Independent, Corp-To-Corp, 13 day((s))",,,,,,dice.com
139,Data Scientist,FirstParty,"Python, SQL",,,3/24/2023,"Contract: W2, 12 Month(s)",$70 - $90,yearly,70000,90000,80000,dice.com
140,Data Scientist - Data Analyst,Chobanian Group,"Tableau, SQL, Python",Sunnyvale,CA,4/13/2023,"Contract: W2, Independent",$80 - $90,yearly,80000,90000,85000,dice.com
141,Data Scientist,MAXAR Technologies,,Arlington,VA,3/13/2023,Full Time,,,,,,dice.com
142,Actuarial Data Scientist - Remote,Amica,,Lincoln,RI,3/28/2023,Full Time,See Job Description,,,,,dice.com
143,,,,,,,,,,,,,dice.com
144,Data Scientist,Apex Systems,,Lenexa,KS,3/14/2023,Full Time,,,,,,dice.com
145,Sr. Data Scientist,Concentrix Catalyst,Network,,,4/1/2023,Full Time,,,,,,dice.com
146,Data Scientist II,"firstPRO, Inc","SQL, R, Python",,,3/29/2023,Full Time,"$90,000 - $120,000",yearly,90000,120000,105000,dice.com
147,Data Scientist,"SystemDomain, Inc.",,Hartford,CT,3/9/2023,"Full Time, Part Time, Contract: Corp-To-Corp, Independent, W2",,,,,,dice.com
148,Data Scientist / ML/AI / Chemistry / Manufacturing,Motion Recruitment,,Los Angeles,CA,4/7/2023,Full Time,,,,,,dice.com
149,Sr Data Scientist,SHOP.COM / Market America,"Pytorch, Tensorflow, scikit-Learn, Python, SQL",,,3/27/2023,Full Time,Depends on Experience,,,,,dice.com
150,,,,,,,,,,,,,dice.com
151,Data Scientist Only on W2 - (Initially REMOTE),Xcelo Group Inc,,,,4/10/2023,"Full Time, Part Time, Contract: W2, Corp-To-Corp, Independent",,,,,,dice.com
152,,,,,,,,,,,,,dice.com
153,Senior Data Scientist (US Remote Eligible),General Mills,,Minneapolis,MN,4/4/2023,Full Time,Depends on Experience,,,,,dice.com
154,Senior Data Scientist,Eliassen Group,,Charlotte,NC,3/16/2023,Contract: W2,,,,,,dice.com
155,Data Scientist (Remote),Surya Systems,"SQL, Python",,,1/13/2023,"Contract: W2, Corp-To-Corp, 12+ Month(s)",$Market,,,,,dice.com
156,IT|Data Analysis - Data Scientist I,Stellar Consulting Solutions,,Santa Clara,CA,3/27/2023,"Contract: Corp-To-Corp, Independent, W2, 5 month(s)",,,,,,dice.com
157,Data Scientist,AccruePartners,"Python, Domino",,,3/16/2023,Contract: W2,,,,,,dice.com
158,Data Scientist/Optical Physicist - Direct Hire,Kelly,"Computer, Engineering, Python, Embedded, Developer, IT",Denver,CO,4/13/2023,Full Time,,,,,,dice.com
159,Senior Data Scientist,Infinity Consulting Solutions,"Python, SQL, Application, Modeling, Web, Consulting, ICS, Accounting",Lisle,IL,3/23/2023,Full Time,,,,,,dice.com
160,Data Scientist / ML/AI/ Chemical Engineering / Manufacturing,Motion Recruitment,,Houston,TX,4/7/2023,Full Time,,,,,,dice.com
161,Data Scientist/ Masters or PhD required,Motion Recruitment,,Salt Lake City,AZ,4/5/2023,Full Time,,,,,,dice.com
162,,,,,,,,,,,,,dice.com
163,Data Scientist,Motion Recruitment,,Arlington,VA,3/3/2023,Full Time,,,,,,dice.com
164,Data Scientist,Eliassen Group,,Stamford,CT,3/2/2023,Contract: W2,,,,,,dice.com
165,Data Scientist,EKIN Solutions Inc,"ML, Hadoop Ecosystem, Spark",,,3/16/2023,Full Time,"$100,000 - $140,000",yearly,100000,140000,120000,dice.com
166,Senior Data Scientist,Centraprise Corp,Python,,,3/2/2023,"Full Time, Contract: W2",$DOE,,,,,dice.com
167,"Lead Data Scientist, Underwriting",New York Life Insurance Company,"AI, Analytical, IT, Python, SQL, Oracle, Sales, Foundation",,,3/27/2023,Full Time,,,,,,dice.com
168,Remote Data Scientist,Apex Systems,,Johnston,IA,3/10/2023,Full Time,,,,,,dice.com
169,R Developer/ Data Scientist,Quantum Vision LLC,R,Jersey City,NJ,3/30/2023,"Contract: W2, Independent, Corp-To-Corp, 12 month(s)",,,,,,dice.com
170,Data Scientist/Analyst,Software Guidance & Assistance,,San Francisco,CA,3/9/2023,"Contract: Independent, W2, Corp-To-Corp",$90.0 - $105.0,yearly,90000,105000,97500,dice.com
171,Data Scientist,Robert Half,"It, Engineering, Computer, SQL, Python, Analysis, Networks",Houston,TX,3/10/2023,"Contract: Independent, W2",$61.75 to $71.50 hourly,hourly,61.75,71.5,66.63,dice.com
172,Data Scientist - Cyber,"ConsultNet, LLC","Director, Computer, Physics, Engineering, Python, SQL, AWS",Rockville,MD,3/16/2023,Full Time,,,,,,dice.com
