,title,salary,jobtype,location,description
41,"Teacher, Science",,100% Remote Job,WV,"
            Deliver instruction, support, and guidance to <b>science</b> students in an online classroom. Must have a bachelor's degree, six months of teaching experience, and certification. New teachers welcome. Remote, part-time contract job.
        "
42,Applied Data Science Lead - Commercial,,Remote - During Pandemic Job,US National,"
            Full-time role. Remote during the pandemic. Candidate will supervise and mentor team of applied <b>data</b> scientists,  develop strategy, build analytics roadmap, and manage project research design. Bachelor's degree and 5+ years' relevant experience required.
        "
43,Applied Data Science Lead - Political,,Remote - During Pandemic Job,US National,"
            Remote role during the pandemic. Candidate will manage client relationships, collaborate with product and sales teams to develop strategy, manage a team of <b>data</b> scientists, &amp; provide consulting services. BA/BS degree &amp; proficiency in SQL req. Travel 10%.
        "
44,"Data Science Lead, Financial Crime",,Remote - During Pandemic Job,"London, United Kingdom","
            Seeking a lead <b>data</b> scientist for a flexible, currently remote position responsible for overseeing and supporting teams, generating strategy plans, monitoring industry trends. Previous related experience, extensive knowledge of industry trends required.
        "
45,"Data Science - Online Adjunct, Graduate Level",,100% Remote Job,"Philadelphia, PA","
            Seeking a temporary instructor to teach a graduate-level <b>Data</b> <b>Science</b> course. Must have a master's degree and experience teaching online. Need to have access to a computer. This is a part-time, work-from-home opportunity.
        "
46,"Recruiting Manager, Data Science Recruiting",,Option for Remote Job,US National,"
            Full-time job, remote option. Needs eight years' recruiting experience and four years' experience managing a team, Inspire, grow and nurture a team of recruiting professionals, and will provide mentorship, guidance and career development to team.
        "
47,Earth Science Teacher,,100% Remote Job,PA,"
            Remote job for candidate who will devote weekly hours to synchronous earth <b>science</b> sessions, successfully complete training with two weeks of hiring,  and participate in monthly <b>data</b> analysis meetings. Six months student teaching experience required.
        "
48,Staff Data Scientist - Marketing Decision Sciences,,Remote - During Pandemic Job,"Sunnyvale, CA","
            The <b>data</b> scientist develops <b>data</b> models &amp; algorithms, processes datasets, conducts A/B testing, &amp; creates dashboards &amp; <b>data</b> visualizations. Teleworking is currently in place at the company. The position requires an analytics-related background.
        "
49,Director Applied Data Science and Machine Learning Engineering,,100% Remote Job,US National,"
            Seeking candidate with Master's degree and six years' product analytics exp. to lead <b>data</b> <b>science</b> and machine learning, execute on the company's <b>data</b> strategy, and drive <b>data</b> product development and delivery of machine learning solutions. Remote job.
        "
50,Academic Editor in Physical Sciences,,100% Remote Job,US National,"
            Work on articles in physical <b>sciences</b> fields, such as plasma and fluidics, nuclear, thermodynamics, photonics, optics, etc. Must have a master's degree and the ability to edit academic manuscripts. WFH with flex hours for $50K.
        "
51,Senior Software Engineer - Data Science and Machine Learning,,100% Remote Job,"MI, IN, KY, TN, GA, FL, OH, NC, SC, WV, VA, PA, DC, CT, NJ, NY, RI, NH, ME, MD, DE, VT, ND, SD, NE, KS, OK, TX, MN, IA, MO, AR, LA, WI, IL, MS, AL, Belgium, Denmark, Finland, France, Greece, Germany, Hungary, Ireland, Italy, Netherlands, Norway, Poland, Portugal, Romania, Spain, Sweden, Switzerland, Turkey, Ukraine, United Kingdom","
            Remote position for a senior <b>data</b> <b>science</b> and machine learning software engineer. Will join a team responsible for the application of statistical analysis and machine learning to difficult problems in the observability space. Need relevant experience.
        "
52,Secondary Science Teacher,,Partial Remote Job,OR,"
            Partially remote position for a certified secondary <b>science</b> teacher. Will manage instructional programs, complete grading, create progress reports, communicate with students, family and colleagues, and help develop enrichment activities.
        "
53,Secondary Science Teacher,,Partial Remote Job,SC,"
            Partial remote, temporary job for candidate who will support the instructional program with asynchronous and synchronous <b>science</b> instructions, provide prompt feedback on student work, and review and improve curriculum. SC certification and exp. req.
        "
54,Product Manager - Go To Market Data Science,,Option for Remote Job,"San Francisco, CA","
            Lead product launch and marketing strategy for optimization of business growth. Requires a bachelor's degree with 3+ yrs' experience or an equivalent combination. Full-time role with remote options &amp; benefits. 
        "
55,Clinical Science Specialist,,100% Remote Job,"Santa Ana, CA","
            Full-time, remote candidate will assist with the review and interpretation of scientific <b>data</b> in the field of ophthalmology and partake in technical writing. Must have a bachelor's degree in a technical discipline and three years of relevant work exp.
        "
56,Data Processing Associate,,100% Remote Job,US National,"
            Perform sample verification and patient information and billing, identify discrepancies, triage issues and suggest potential improvements for internal workflows. A bachelor's degree is required. Remote-based job.
        "
57,High School Science Teacher,,Partial Remote Job,GA,"
            Partial remote position will complete grading, support students/parents with strategies, support the instructional program, review curriculum, review <b>data</b>, and develop instructional strategies. Must be a qualified certified teacher in <b>Science</b> in Georgia.
        "
58,Data Science - Machine Learning Engineering Architect,,Partial Remote Job,US National,"
            Partial remote position will design/deliver machine learning solutions, oversee end-to-end architecture of solutions, identify opportunities for improvement, participate in early ideation, and development. BS degree required and 15 years of exp. 
        "
59,Science and Policy Advisor,,Option for Remote Job,US National,"
            Full-time position with the option of remote work. Responsibilities include identifying &amp; engaging in terrestrial wildlife protection opportunities, researching &amp; drafting documents, and conducting scientific literature reviews. Bachelor's required.
        "
60,Middle School Science Teacher,,Option for Remote Job,CA,"
            Full-time middle school <b>science</b> teacher needed for a temporary opportunity during the 2020-2021 school year. This is a remote position. Will support instructional program. Must be certified to teach middle school <b>science</b> in the state of California.
        "
61,Earth Space Science Teacher,,100% Remote Job,US National,"
            The teacher will manage virtual instructional programs, conduct web conferencing sessions, &amp; grade assignments. Must have earth space <b>science</b> teaching certification in WI, IN, or PA or earth <b>science</b> teaching certification in AR, WA, or TX. WFH position.
        "
62,Analytical Science and Technology Lead,,Partial Remote Job,"Baltimore, MD, Gaithersburg, MD, Washington, DC, or US National","
            Remote position will manage equipment, maintain documentation system, manage/optimize strategies for review, editing/approval of documentation, review analytical test <b>data</b>/reports, and edit procedures. BS degree required and six years of experience.
        "
63,Middle Level Science Teacher,,100% Remote Job,PA,"
            Deliver instruction, support, and guidance to middle school <b>Science</b> students in an online classroom. Must have a bachelor's degree, six months of teaching experience, and certification. New teachers welcome. Remote, part-time contract job.
        "
64,Middle School Science Teacher,,100% Remote Job,VA,"
            Provide synchronous and asynchronous support which focuses on individual student needs. Must be currently certified to teach high school in Virginia with a Middle Ed <b>Science</b> endorsement. Part-time, home-based role.
        "
65,Science Teacher,,100% Remote Job,"MI, IN","
            Virtual position with some travel for a licensed 6-12 <b>science</b> teacher. Will plan and execute instructional lesson plans, adapt and enrich the curriculum, maintain records, administer tests, and participate in school activities. Need a bachelor's degree.
        "
66,Medical Science Liaison,,Partial Remote Job,"AZ, CA, WA, OR, NV","
            Full-time, partially remote position. Duties include expediting the availability of novel treatments, reviewing promotional materials to ensure compliance, acting as a product expert to internal &amp; external customers, and supporting marketing.
        "
67,Academic Editor in Life Sciences,,100% Remote Job,US National,"
            Remote job for candidate who will edit academic manuscripts in accordance with accepted publication standards. Candidate should have a strong editing and research background in life <b>sciences</b> fields with clinical applications. PhD preferred. $50k/year.
        "
68,High School Science Teacher,,Option for Remote Job,AL,"
            Position with the option for remote work for a certified high school <b>science</b> teacher. Will manage and deliver instructional programs, create progress reports, and communicate regularly with parents, students and colleagues. Need strong technology skills.
        "
69,Computational Material Science Research Associate,,Remote - During Pandemic Job,"Santa Clara, CA","
            Temporary, full-time role working remotely to support computational material <b>science</b> research. Collect and evaluate <b>data</b>, perform analytics, and present research findings. Must have a PhD in chemistry, chemical engineering, or physics.
        "
70,"Account Manager, Life Sciences",,100% Remote Job,US National,"
            Virtual role. Develop relationship with industry contacts and support implementation for new services, close sales deals and negotiate renewals, and meet monthly sales targets. Requires 1 year sales and vendor management experience.
        "
71,"Principal Software Engineer Lead, Data Science Platform",,100% Remote Job,US National,"
            Full-time, remote position. Responsibilities include creating solutions that enable diagnostic &amp; predictive analytics capabilities, researching trends &amp; emerging technologies, and translating customer needs into solutions. 8+ yrs' experience required.
        "
72,Senior Medical Science Liaison,,Partial Remote Job,"TN, LA, GA, AL, FL, MS","
            Act as a resource for healthcare providers, patients, partners, and internal colleges with field-based scientific information. Must have an advanced clinical or scientific degree and 5+ years' MSL or industry-related experience. Partial remote role.
        "
73,Data Scientist,,100% Remote Job,US National,"
            Remote position will identify strong use cases, define scalable <b>data</b> acquisition/labeling strategy, retrieve/normalize <b>data</b>, ensure scalable <b>data</b> stream, conduct internal testing, and interpret results. Ph.D. required and five years of experience.
        "
74,Middle School Science Teacher,,Partial Remote Job,GA,"
            Partial remote position will complete grading in a timely manner, communicate with parents/students, support the instructional program, review curriculum, and coordinate social activities/field trips. Must be qualified/certified to teach in Georgia. 
        "
75,Data Analyst,,Full-Time,"Carlsbad, CA","
            Work on various projects and communicate with different stakeholders to gain valuable business context, analyzing <b>data</b> for a medical devices company. Must have a bachelor's degree and 5+ years of analytics experience. Full-time, remote position.
        "
76,Senior Data Engineer,,Option for Remote Job,US National,"
            The sr. <b>data</b> engineer will help determine product strategy, design experiments, develop products, &amp; build analytical frameworks for monitoring products. Requires at least five years' industry exp. in <b>data</b> <b>science</b> or analytics. Telework option available.
        "
77,High School Science Teacher,,Partial Remote Job,IN,"
            Full-time, partially remote position. Will maintain grade book, make decisions, monitor student progress, meet established goals and provide expertise. Bachelor's degree and related experience required. Travel. 
        "
78,Middle School Science Teacher,,Partial Remote Job,AZ,"
            Full-time, partially remote position. Will prepare students for tests, maintain grade book, troubleshoot issues, make decisions and adhere to procedures. Bachelor's degree and related experience required. Travel.
        "
79,"Senior Manager, Shelter Behavior Science",,Partial Remote Job,US National,"
            Partner with ASPCA behavior teams to offer shelter behavior expertise, travel to ASPCA facilitates and identify program needs, and conduct volunteer and staff training. 3 yrs of experience is needed. Work remotely and travel up to 10 - 12 days a month. 
        "
80,Lead Product Manager - Life Sciences,,100% Remote Job,"San Francisco, CA","
            The lead product manager will articulate the needs of biopharma partners, develop the product vision, define the product roadmap, &amp; facilitate solutioning. At least five years' relevant experience with <b>data</b> &amp; analytics platforms is required. Remote role.
        "
81,"Manager, Professional Development Partnerships, Science",,Partial Remote Job,US National,"
            Full-time, partially remote position. Duties include developing &amp; maintaining relationships with business partners, leading customer calls to clarify &amp; refine professional development plans, reviewing &amp; synthesizing <b>data</b>, and developing budgets.
        "
82,Middle School Science Teacher,,Partial Remote Job,TN,"
            Full-time position. Will maintain grade book, troubleshoot issues, augment course content and make placement decisions. Bachelor's degree and related experience required. Partially remote with travel. 
        "
83,"Clinical Data, Data Entry, Operator I",,100% Remote Job,"Austin, TX","
            Temporary, work-at-home position entering clinical <b>data</b> in an accurate and efficient manner. Swing-shift schedule incudes Saturdays. Must have a high school diploma and attention to detail, along with strong <b>data</b> entry skills.
        "
84,"Senior Associate, Science Based Targets",,Remote - During Pandemic Job,"Washington, DC","
            Supports the team in setting targets for greenhouse gases, manages projects, authors research papers, &amp; attends events. Requires a master's degree &amp; at least seven to 14 years' exp. with corporate greenhouse gas management. The role is temporarily remote.
        "
85,Data Scientist,,Partial Remote Job,"North Chicago, IL","
            Full-time, temporary position. Will oversee <b>data</b> delivery, identify opportunities, drive innovation and conduct reviews. Bachelor's degree and 2+ years' related experience required. Partially remote. $45/hr.
        "
86,Data Manager - Clinical and Biomarker Data Management,,Option for Remote Job,"Stamford, CT, San Francisco, CA, or US National","
            Full-time position with the option of remote work. Responsibilities include creating, executing, &amp; distributing <b>data</b> management metrics &amp; reports, receiving, organizing, &amp; reviewing <b>data</b> quality, and developing &amp; updating <b>data</b> transfer specifications.
        "
87,Data Scientist 2,,100% Remote Job,US National,"
            Remote <b>data</b> scientist needed to lead independent analysis, prepare reports and documentation, and present <b>data</b> analysis findings. Master's degree with 3 years of relevant experience in the commercial healthcare industry and communication skills required.
        "
88,Senior Data Scientist,,100% Remote Job,US National,"
            Remote position will use <b>data</b> analysis techniques to collect/extract insights from structure/unstructured <b>data</b>, develop algorithms/applications to apply mathematics to <b>data</b>, and ensure <b>data</b> integrity. Master's degree required and four years of experience.
        "
89,Data Scientist Research and Development,,100% Remote Job,US National,"
            Remote role for a <b>data</b> scientist research and development. Will create pipelines and infrastructure to productionize machine learning systems, develop solutions, enhance marketing capabilities, provide insights and progress reports. Need extensive exp.
        "
90,"Operations Specialist, Science",,Partial Remote Job,"Brooklyn, NY","
            Liaise with external vendors and stakeholders to oversee preparedness plans for print products, kit availability, back-to-school fulfillment integration, and establish checkpoints. Work from home - travel is expected for customer-facing meetings. 
        "
91,Data Scientist II,,Partial Remote Job,"Carlsbad, CA","
            Be responsible for supporting the R&amp;D Troubleshooting and Support function for post-market surveillance in the clinical group. Must have a bachelor's degree and 2+ years of experience as a <b>data</b> scientist. WFH with 10% travel.
        "
92,Computer Science Instructor,,100% Remote Job,US National,"
            Full-time, freelance position. 100% remote. Responsibilities include facilitating lectures, Q&amp;A sessions, &amp; demonstrations, preparing students for a coding assessment, and reporting on student progress. High school diploma or GED required.
        "
93,Adjunct Faculty – Computer Science,,100% Remote Job,US National,"
            Be engaging, offering an increased and innovative presence in the classroom for CS students. Must have a master's degree and 2+ years' experience within computer <b>science</b>, software engineering, or software development. WFH part-time.
        "
94,Product Data Management Specialist,,100% Remote Job,"Carlsbad, CA, South San Francisco, CA, Boston, MA, Tewksbury, MA, Waltham, MA, Asheville, NC, Pittsburgh, PA, Austin, TX, Houston, TX","
            Support portfolio management for products to drive revenue, meet profitability targets, provide support, test Master <b>Data</b> updates, support site sourcing by reviewing supplier specifications and communicate updates to <b>data</b> standards. Fully remote.
        "
95,Data Scientist,,Option for Remote Job,"Chicago, IL, Philadelphia, PA","
            Will be developing models, creating visualization products, building a pipeline of <b>data</b> <b>science</b> projects, &amp; collaborating on project deliverables. Must have at least a bachelor's degree &amp; <b>data</b> <b>science</b> exp. in a commercial setting. Can work remotely.
        "
96,Analytics Consultant - Computer Science,,100% Remote Job,US National,"
            Remote candidate will identify key business objectives with the stakeholders, evaluate sample <b>data</b>, determine <b>data</b> collection methods, and prepare a solution proposal document. Must have three to five years of experience developing analytics solutions.
        "
97,Senior Project Manager - Quality System Implementation - Life Sciences,,Partial Remote Job,"NY, NJ, Boston, MA, San Francisco, CA, Philadelphia, PA, Chicago, IL, Los Angeles, CA, Denver, CO, San Diego, CA, Raleigh, NC, or US National","
            Guide customers on ways to enhance their compliance and quality culture, define strategies, audit and/or inspect readiness and define strategies for deploying solutions across the organization. Remote job  must be able to travel. 
        "
98,Data Scientist,,Partial Remote Job,US National,"
            Seeking a <b>data</b> scientist for a full-time, partially remote position requiring a computer <b>science</b> or closely related MA/MS, five+ years' <b>data</b> <b>science</b>/analytics experience, exceptional communication skills, and an understanding of Python, SQL, and R.
        "
99,Clinical Data Manager,,Remote - During Pandemic Job,"Rolling Meadows, IL","
            F/T contract clinical <b>data</b> manager is responsible for all activities of clinical trial <b>data</b> management. Bachelor's degree and 2-5 years of clinical <b>data</b> management experience required. Remote during the pandemic. Temporary position.
        "
100,Data Analyst,,100% Remote Job,US National,"
            Make <b>data</b> available and transparent to enable <b>data</b>-driven decisions. Must have a bachelor's degree and 4+ years of experience in <b>data</b>/business analysis, <b>data</b> <b>science</b>, engineering, etc. WFH with flexible hours.
        "
101,Data and Analytics,,100% Remote Job,"Delray Beach, FL","
            Provide in-depth business insights and accelerate the <b>data</b> <b>science</b> technology company's <b>data</b>-driven decision making. Must have a passion for helping develop advanced analytic capabilities to advance <b>data</b> <b>science</b>. Full-time, remote position.
        "
102,"Engagement Manager, Decision Science",,Remote - During Pandemic Job,US National,"
            Help with devising analytical solutions, project management, client communication, and delivering tangible outcomes. Must have a master's degree and 5+ years of relevant work experience running <b>data</b> analytics projects. Full-time, remote position.
        "
103,Data Engineer,,100% Remote Job,"Paris, France","
            Remote position will build high-volume <b>data</b> pipelines, and work with others to enable high-scale <b>data</b> <b>science</b>. BS degree required in a scientific field or equivalent experience. Need experience with building/operating <b>data</b> pipelines.
        "
104,"Data Scientist, Experimentation",,100% Remote Job,Work from Anywhere,"
            Remote, flexible role. Build statistical models for decision making, analyze business opportunities and create machine learning tools, and provide mentoring to junior team members. Requires 3 years' machine learning experience and programming proficiency.
        "
105,Data Scientist,,Partial Remote Job,"ME, NH, MA, RI, CT, NY, NJ, DE, MD, VA, NC, SC, GA, FL","
            Conduct investigations on <b>data</b> for a wide range of clientele under deadlines. Create <b>data</b> <b>science</b> practices for various purposes. Remote-based position with travel required. Must have 2 years of <b>data</b>-centric field work including image processing or NLP.
        "
106,"Teacher, Family and Consumer Sciences",,100% Remote Job,OR,"
            Deliver instruction, support, and guidance to family &amp; consumer <b>science</b> students in an online classroom. Must have a bachelor's degree, six months of teaching experience, and certification. New teachers welcome. Remote, part-time contract job.
        "
107,Data Scientist,,100% Remote Job,"Bulgaria, Croatia, Cyprus, Czech Republic, Egypt, Israel, Kenya, Lebanon, Luxembourg, Malta, Nigeria, Oman, Qatar, Romania, Saudi Arabia, Serbia, South Africa, Ukraine, United Arab Emirates, United Kingdom","
            Full-time remote <b>Data</b> Scientist role will conduct experiments, develop analytical tools, develop machine learning models, and clean datasets. Experience using <b>data</b> <b>science</b> methodologies and technologies required. Degree in STEM subject preferred.
        "
108,"Data Scientist, Predictive Analytics Actuary",,100% Remote Job,US National,"
            Job duties include analyzing large datasets, creating predictive &amp; prescriptive solutions, contributing to model deployments, &amp; training team members. Must have at least two years' <b>data</b> <b>science</b> experience &amp; a relevant bachelor's degree. Remote position.
        "
109,Data Scientist,,100% Remote Job,"Nashville, TN","
            A remote position is available for a <b>data</b> scientist who has machine learning expertise in the auto industry or a related field. Must have a <b>data</b> <b>science</b> background, a decade of programming exp. with statistical software, and at least a master's degree.
        "
110,Senior Data Scientist,,100% Remote Job,"San Francisco, CA","
            Remote position will own analytical frameworks, design experience, interpret results to draw conclusions, develop models to extract trends, measure results, and present findings to influence leadership. Need five years of experience. 
        "
