,company,description,location,salary,title
11,Millennium Software Solutions,"Clustering of mixed event, real time data in order to determine clear operating regimes. The event data is process alarms from a refinery, chemical plant or…","West Kingston, RI",$70 - $75 an hour,Data Scientist
12,Liberty Mutual Insurance,Gain confidence in skill application using analytics and data science techniques to manipulate large structured and unstructured data sets in order to generate…,Remote +4 locations,"$87,900 - $123,200 a year","Analyst I, Data Science"
13,Booz Allen Hamilton,"Participation in partnerships with data science leaders, like our partnership with NVIDIA to deliver Deep Learning Institute (DLI) training to the federal…","Beavercreek, OH +1 location",,Data Science Technical Trainee
14,Intellisoft Inc,"Conduct data quality assurance activities, including the identification and resolution of data errors. Master's Degree or higher in statistics, data science,…","Atlanta, GA",$55 - $65 an hour,Data Analyst
15,GovStrive LLC,"Support the collection, preparation, and management of client data and publicly available datasets such as the Federal Employee.","Dublin, GA",,Data Scientist I
16,Nestria,Feel free to apply if you think that you have adequate credentials to mentor job seekers for tech industry jobs in software development or data science.,Remote,$18 - $100 an hour,Python & Data Science Mentor
17,Performance Analytica LLC,"If you are a tech savvy individual with a proven background in basketball stats, Performance Analytica wants you to be part of our team.",Remote,$10 - $15 an hour,Basketball Statistician
18,Audiohook,Present information using data visualization techniques. Identify valuable data sources and automate collection processes. Analytical mind and business acumen.,Remote,"$50,000 - $80,000 a year",Data Scientist
19,Advansys Inc,Demonstrated data visualization literacy and the ability to select visualizations appropriate for a given business need.,Remote,"$75,000 - $140,000 a year",Need Data Analyst / Data Science consultants
20,University of Maryland,"Experience querying databases and large data sets to combine and manipulate data (e.g., import data, assess missingness, filter, transform variables, derive…","College Park, MD",,Associate Data Scientist
21,Tekshapers Inc,"Experience with building/tuning models inferencing against time series data. To create all quality documents, collect metrics data and conducting Audits.","Rahway, NJ",$60 - $65 an hour,Data Scientist
22,Kanini Software Solutions,This person will also be responsible for managing the team providing data pipeline work to the Unsupervised system. Working at Kanini is flexible and personal.,"Nashville, TN",$60 - $80 an hour,Product Manager – Data Science
23,"LockerDome, Inc.","Additionally, you’ll contribute to LockerDome's code base, working with large datasets within our platform and supplemental client data to build tools that are…",Remote,,"Junior Data Analyst, Data & Analytics"
24,"Continental Finance Company, LLC",Creating complex data visualizations in Tableau. Creating complex custom data queries in SQL. Creating complex data models in SAS or R or Python.,"Wilmington, DE","$80,000 - $100,000 a year",Data Scientist
25,Telesis,Transform and convert data streams into structures needed for algorithm input. They will collaborate with Data Scientists to design tools to train machine…,"Tampa, FL","$130,000 - $140,000 a year",Machine Learning Engineer
26,US Department of Veterans Affairs,"This position drives agency innovation and delivers expert business intelligence with respect to data governance, data visualization, data analysis and…",Remote,"$92,143 - $140,000 a year",Data Scientist
27,HBO,"HBO offers competitive benefits to include medical, dental, vision, a matched 401(k) plan, flexible spending, a commuter benefit program and tuition…","New York, NY",,Technical Sourcing Recruiter – Data Science
28,WarnerMedia,"HBO offers competitive benefits to include medical, dental, vision, a matched 401(k) plan, flexible spending, a commuter benefit program and tuition…","New York, NY",,Technical Sourcing Recruiter – Data Science
29,Delaware Nation Industries,Work with social science researchers to identify relevant data needs for policy-oriented research purposes. Contribute to and help maintain data structure for a…,"Washington, DC +1 location","$130,000 - $140,000 a year",Data Scientist
30,Blueprint Power,Gather and characterize data inputs and outputs for the models. Has 3-5 years of experience in python programming and 1+ years of experience using modeling and…,Remote,"$78,795 - $182,856 a year","Data Scientist, Modeling & Simulation Team"
31,Lancer Insurance Company,Data analysis: 1 year (Preferred). Collaborate with stakeholders to integrate data mining results with existing systems. Experience with Python a plus.,Remote,"$75,000 - $125,000 a year",Predictive Modeler
32,SquadMethod,"Data Scientists: *Machine Learning : will develop, evaluate and modify algorithms and algorithm ensembles to performance against various network data sources…",Remote,,Data Scientist
33,Southwest Airlines Co.,"The Data Science Recruiter manages the full lifecycle of recruiting while maintaining strong relations with business leaders, hiring managers, human resources…","Dallas, TX",,Data Science Recruiter
34,FinTek Solutions LLC,"8+ years of OR, statistical or data mining algorithm development experience, including 5+ years of AI/ML development experience for real-world applications.","Atlanta, GA",$45 - $50 an hour,AI/ML Data Scientist
35,Generally Intelligent,Gain real exposure to deep learning research. Take time to develop a deep understanding of what makes neural networks actually work by reading papers and the…,"San Francisco, CA","$130,000 - $170,000 a year",Deep Learning Engineer (Full-time)
36,Quizlet,"You will be the owner and expert of subscriptions data, enabling you to identify new high-value opportunities, analyze A/B test experiments, recommend data…","San Francisco, CA",,"Product Analyst, Subscriptions"
37,Øptimus Consulting,"Øptimus Analytics, a data science and software company, is seeking a data science fellow in the Washington, DC area or remotely.","Alexandria, VA",,Data Science Fellow
38,PrimeNeuro,"Ph.D. or Master’s in data science, bioinformatics, or a closely related field or B.S. with 3-5 years of post-degree work experience.","Durham, NC +3 locations","$95,000 - $105,000 a year",Data Scientist
39,Awning,"Integrate third-party data sources with our data infrastructure. You'll also support with data science, machine learning, and engineering work we do.","San Francisco, CA",,Data Engineer
40,Tra'Bian Enterprises,Once the chatbot is created – will uses analytics data from Watson Assistant to provide insights into overall Bot performance and areas of improvement.,Remote,,(5) Data Analyst / Data Scientist
41,Instacart,Build and lead a high-performing team of data scientists. Enable objective decision making across the company by democratizing data through dashboards and other…,California,,"Manager, Data Science - Ads"
42,Clara Analytics,"Proficiency in Python for data science applications. 2+ years of experience with end to end data science pipelines - data ingestion, processing, machine…",Remote,,Data Scientist
43,"Denali System Co., Ltd","Data science: 3 years (Preferred). Proven Experience in working with large scale data systems. Formulating, suggesting, and managing data-driven projects which…","Mountain View, CA",,Data Scientist -- Full-time
44,"LockerDome, Inc.","Build data science models that tie directly into other existing models. Strong technical ability in a data-focused programming language, such as R or Python.",Remote,,"Junior Data Scientist, ML R&D"
45,Tampa Bay Rays,Our R&D group helps shape the Baseball Operations decision-making processes through the analysis and interpretation of data. Experience with R or Python.,"Saint Petersburg, FL",,"Analyst, Baseball Research & Development"
46,Viridios AI,"Advanced data exploration and visualization skills. Bachelor’s degree in any technical subject (e.g., computer science, engineering, physics, mathematics, etc).",Remote,"$60,598 - $184,293 a year","Data Scientist, Artificial Intelligence"
47,National Independent Statistical Service,This individual corresponds with company contacts when problems are identified and assists in resolving data questions.,"Indianapolis, IN",,Statistical Analyst
48,United Solutions LLC,Strong experience in manipulating data and drawing insights from large data sets. Experience working with and creating data architectures.,"Rockville, MD","$50,000 - $120,000 a year",Data Scientist
49,DataCamp,"Passionate about teaching data science and data fluency skills. Talented data science industry professional skilled in either Python, R, SQL, or Sheets (or all…",New York State,,"Data Science Online Course Instructor (Part-Time, Contract)"
50,Atlas Executive Consulting,Minimum four (4) years of experience developing data analytics or data science solutions. Ability to manipulate data from multiple structured and unstructured…,"North Charleston, SC","$70,000 - $85,000 a year",Mid-Level Data Scientist
51,TARGET PHARMASOLUTIONS,Aggregate and organize data from disparate sources in support of data analysis. Knowledge of healthcare/clinical data desired.,"Durham, NC",,Data Scientist
52,Orlando City SC,"Degree in computer science, math, data science or related field or a combination of education and 1-2 years experience in statistical analysis and report…","Orlando, FL",,Sports Science Data Analyst
53,Tripoint Solutions,Conduct data analysis tasks in conjunction with client data SMEs. This position requires the applicant to parse disparate data sources to find the patterns and…,"Alexandria, VA +1 location","$90,000 - $95,000 a year",Data Scientist
54,CreditXpert,"Closely collaborate with operations and data science to create scalable solutions for product problems. Manage data and meta-data, structuring it properly via…","Baltimore, MD","$96,980 - $153,326 a year",Data Engineer
55,"Redaptive, Inc.",The Quantitative Data Analyst at Redaptive leverages any and all available data to answer Redaptive’s critical questions.,United States,,Quantitative Data Analyst
56,Numerdox,"You will be performing thorough testing and validation of models, and support various aspects of the business with data analytics.","Sacramento, CA",,Data Scientist - Entry Level
57,Facebook,"Utilizes Data for reporting and influencing hiring decisions, while maintaining data integrity. Partner with Coordinators and Recruiters to manage an efficient…",Remote +6 locations,,"Technical Sourcer, Data Science"
58,Titan America,"Experience with common data science toolkits, such as R, Python. Extending company’s data with third party sources of information when needed.","Roanoke, VA",,Junior Data Scientist
59,The General Insurance,"As an Associate Data Scientist, you will be involved first hand with actual data science projects and writing code that matters.","Nashville, TN",,Associate Data Scientist
60,General Motors,Our Data Analytics team supports operational improvement and business decision-making through ad-hoc statistical analysis of curated enterprise data and self…,Michigan,,Data Analyst
61,Utility Associates,Identify valuable data sources and automate the collection of data. Our plan is to build a data science team that will help us gain valuable insights from…,"Decatur, GA","$110,000 - $135,000 a year",Data Scientist
62,Liberty Mutual Insurance,"Develop expertise in products requiring price segmentation and in available analytic data. High-level knowledge of data sources, tools, and the business (lines,…",Remote +2 locations,"$126,901 - $179,500 a year","Director I, Data Science"
63,Rooms To Go Corporate | Furniture,"4-year College degree in marketing, advertising, data science or a business-related field. Reviews data and reports for quality assurance.","Atlanta, GA",,Media Specialist
64,Netflix,Inspire and lead your team to deliver data and strategic and novel data science and engineering approaches that help optimize and guide Netflix's content…,"Los Angeles, CA",,VP of Content Data Science & Engineering
65,Cato Institute,"Degree in economics, statistics, data science, or any field that requires strong analytical and writing skills. Interest in libertarianism and public policy.",Remote,,RESEARCH ASSOCIATE FOR ECONOMIC STUDIES
66,Neal Analytics,"This Data Analyst will require significant experience analyzing data looking for basic patterns and performing business-rule data validation, then producing…",Remote,$65 - $70 an hour,Senior Data Analyst
67,"Dynamic Placement Services, LLC","Dynamic’s client is seeking a Software Architect for a permanent position in Denver, CO (the ideal candidate will be local to the Denver area and can go into…","Denver, CO",,Software Architect (Machine Learning/Artificial Intelligence)
68,Facebook,"As a Recruiting Lead on our Data Science Sourcing & Recruiting Teams, you will work closely with recruiting and sourcing leaders, Data Science business leaders…",Remote +11 locations,,"Recruiting Lead, Data Science"
69,"E Cyber7 Technologies, LLC",Demonstrates solid data science knowledge. Designing and developing machine learning and deep learning systems. Running machine learning tests and experiments.,"Bowie, MD","$45,000 - $140,000 a year",Machine Learning Engineer
70,Sustainable Living Lab,"Prior working experience at a Community College or University level in a content development/training/mentoring role is a must. Job Types: Full-time, Contract.",Remote,"$6,000 - $7,000 a month",Artificial Intelligence Trainer
71,Clarify Health Solutions.,Experience documenting ETL mappings and similar documents to provide data lineage and data transformation logic. Testing and QA of all steps of processing.,Remote,"$100,000 - $145,000 a year",Healthcare Data Analyst
72,Doorstead,Extending company's data with third party sources of information when needed. Enhancing data collection procedures to include information that is relevant for…,"San Francisco, CA",,Data Scientist
73,IBM,Determine the appropriate data collections methods based on the unique data structure and elements. The role will involve working with the CIO Data Lake and…,"Research Triangle Park, NC",,Data Scientist - Campus Network
74,Starbucks,"Understands how to break down the data, extract insights, and determine utility within larger data analytic products.","Seattle, WA",,data scientist -Remote
75,Trend Health Partners,Interpret and analyze data to accurately assess and demonstrate key insights into trends and opportunities. Trend Health Partners is currently seeking analysts…,"Hunt Valley, MD","$50,000 - $60,000 a year",CLAIMS ANALYST (DATA MINING)
76,SymphonyRM,Experience using dbt to transform data. Transform and model data using dbt and LookML. Visualize data to communicate findings using platforms such as Excel or…,Pennsylvania,,Junior Data Analyst
77,Booz Allen Hamilton,"2+ years of experience with data science, data analytics, or research analytics. Join us as we use data science for good in public healthcare.","Bethesda, MD",,"Public Health Analyst and Data Scientist, Junior"
78,MyGuru Tutoring & Test Prep,"MyGuru, a boutique 1-1 tutoring and test prep provider, is seeking experienced a data science/machine learning tutor to join our team.",Remote,$40 - $50 an hour,Data Science Tutor
79,Clara Analytics,CLARA Analytics is looking for an experienced Machine Learning Engineer to join the data science team. Collaborate with data engineering and product teams on…,Remote,,Machine Learning Engineer
80,The New York Times,Democratize data and insights through skillful data structuring and use of visualization tools. Collaborate with data science and tech to bring to life new…,"New York, NY",,"Analyst, Data and Insights Group (Growth)"
81,Juno College of Technology,"Have demonstrable hands-on industry experience in data analytics or data science. Have expertise in using Python for data wrangling, exploratory data analysis,…",Remote,$100 an hour,"Part-Time Content Creator, Data"
82,Orsus Research,Orsus Research is a Quantitative Investment Firm that selects securities based on quantitative analysis. We employ computer-based models and machine learning…,"New York, NY","$63,919 - $240,750 a year",Quantitative Researcher
83,"Appalachian Regional Healthcare, Inc.",The Project Manager is responsible for designing and/or implementing major Information Systems to meet the overall objectives established by management.,Remote,,Project Manager for Data Science - Remote Position
84,"Metron, Inc.",Conduct data collection and specification reviews. Perform post-processing data analysis and interpretation. Participate in customer meetings and briefings.,"Hanahan, SC +1 location",,Associate Operations/Systems Analyst
85,GHK,"Leads AI best practice sharing opportunities and knowledge of industry trends and innovations in data science. Salary: Up to $120,000.00 per year.",Remote,,Principal Data Scientist
86,IntelliGen Technologies,"Genus plc is a market leader in porcine, dairy, and beef genetics and is uniquely positioned as a global player with a dedicated, multi-species research and…",Remote,,Data Scientist
87,Homeless Services Network of Central Florida,Disseminate data regarding data quality and system performance measures. Assists in monitoring and providing regular updates to the organization’s management…,"Orlando, FL","$45,000 - $53,000 a year",HSN Data Analyst I
88,SemanticBits LLC,Three or more years working in a data scientist or data analyst role. Maintain data documentation and definitions. Six years of relevant technical experience.,Remote,,Data Scientist - Remote
89,LOCKHEED MARTIN CORPORATION,"Demonstrated experience with data governance and data management practices such as metadata management, data quality, data stewardship, and master data…","Bethesda, MD",,Data Fabric Architect
90,Ascendum,"Knowledge in three of the following technical disciplines: data warehousing, big data management, analytics development, data science, application programming…","Cincinnati, OH",,Data Engineer Level 3
91,Optimal Solutions Group,Self-motivation and interest in data-driven public policy analysis a must. The Research Analyst(s) would assist senior researchers in a variety of research and…,"College Park, MD",,Research Analyst I
92,Recovery Centers of America,"Strong knowledge of Data Science, Data structures, data modelling and software architecture. Reporting to the CTO, the ideal candidate will have great problem…","King of Prussia, PA",,Data Scientist
93,Wake Forest Baptist Medical Center,"Assists in data analyses and preparation of charts, graphs, and reports obtained from research data. Assists in the design and testing of questionnaires, data…","Winston-Salem, NC",,"Data Collector, Biostatistics and Data Science"
94,"U.S. Xpress Enterprises, Inc.","Experience with data visualization best practices for data-driven storytelling. Design of interactive scorecards, dashboards and interactive data products…",Remote,,"Sr Data Analyst, People Science"
95,BCC Geospatial Center of the CUNY CREST Institute,We are seeking an experienced data scientist with skills and qualifications in analyzing and modeling geospatial data.,Remote,$20 - $25 an hour,DATA SCIENTIST - GEOSPATIAL TECHNOLOGY
96,Jackson Lewis P.C,Two years of experience as a data statistician preferred. Ability to write programs/macros to automate repetitive statistical and data tasks required.,"Denver, CO","$66,000 - $111,000 a year",Data Statistician
97,"Pharma Resource Group, Inc.",Support the safety science eﬀort to build applications and tools by applying advanced scientific algorithms and methods and translating the strategic vision of…,"Fort Washington, PA",,Data Scientist - Pharmaceutical domain
98,Goldman Sachs,"Some roles will require proficiency in R, Python, or similar for statistical modeling and analyzing time-series data.","New York, NY +7 locations",,Early Careers | Financial Modeling & Research | New York
99,Optimal Solutions Group,"Assist Data Scientists in developing data products that contain dynamic data visualizations to present findings, data explorers that allow users to explore and…","College Park, MD",,Data Scientist Jr.
100,Brilliant Infotech,"Solid experience performing data science from data discovery, cleaning, model selection, validation, and deployment; experience coding artificial intelligence…","Ewing, NJ","$111,000 - $122,000 a year",Data Scientist
101,"Decision Information Resources, Inc","Master’s degree with coursework in data analysis or data science. Additionally, the ability to set up a platform for data visualization is preferred.","Washington, DC","$65,000 - $80,000 a year",Data Visualization Analyst
102,"Naval Systems, Inc.",Write tools to assist in mining data from various Navy and DoD data sources. Assist in the assessment and accuracy of new data sources and data gathering…,"Lexington Park, MD",,Junior Data Analyst
103,Nauto,Collaborative mindset when working with engineering teams to implement data models and data gathering infrastructure in production.,"Palo Alto, CA",,Data Science
104,Franklin IQ,Gathering data via advanced computerized models. Developing and revising existing data models. Extracting patterns of data through high-level algorithms.,"Arlington, VA",$50 - $70 an hour,Data Scientist
105,KBR,"Engineering Support: Participates with engineering in the design, development, and utilization of scientific/engineering electronic data processing systems…","Lexington Park, MD",,"Data Scientist (Part-Time, Remote)"
106,Bayer,Ability to understand and implement product data management practices. Working with product lifecycle management or product data tracking databases or similar…,"Indianola, PA",,Data Collection (Entry) - Data Science - R&D - PH - US
107,EpochGeo,"Our developers, analysts, and data scientists have a proven track record applying open-source innovative technology, data science, and actionable analytics to…","Washington, DC +2 locations","$100,000 - $200,000 a year",Junior OR Mid OR Senior Data Scientist
108,Blizzard Entertainment,"Demonstrated experience with some or all of the following: data modeling, data visualization, statistics, experimental design, predictive modeling.","Irvine, CA",,"Data Analyst, World of Warcraft Analytics"
109,Formstack,"An absolute passion for data, data-science, visualization, and analytics. Coordinate with other teams and departments (e.g. Data Engineering, Revenue Operations…",Remote,"$70,000 - $80,000 a year",Product Analyst
110,Elutions,Perform statistical data analysis and statistical modelling with high quality data handling techniques. Incorporate process of continuous improvements into day…,"Tampa, FL",,Data Analyst
111,Catalyte,Building data ingestion pipelines to ensure timely and quality data into our Data Lake. Collaborating with our Data Science team on data and metrics.,Remote,"$116,223 - $126,282 a year",Data Engineer
112,US Geological Survey,Performs data conversions to review calculations and averages to ensure publishable data. Performs data collection and survey processing activities.,"Reston, VA","$39,684 - $51,592 a year",Statistical Assistant
113,BSquared Consulting,8+ years of total data analyst experience required. Obtain data through advanced computerized models; extrapolate data patterns through advanced algorithms;…,"Washington, DC","$100,000 - $108,000 a year",Healthcare Data Analyst - Senior
114,"Dfuse Technologies, Inc.","Demonstrated experience defining data flows, i.e., which parts of the organization generate data, which require data to function, how data flows are managed,…","Arlington, VA","$104,889 - $150,000 a year","Data Architect- Cloud, AI, Machine Learning"
115,Venga Global,This will help our team gather enough data to teach computers to identify the same traits. Additional special projects may be assigned if time allows.,North Carolina,$15 an hour,"Interview Analyst - Spanish Study (Remote, USA)"
116,Liberty Mutual Insurance,"Building predictive models using unstructured data such as free text, images, voice data. Workers compensation, general liability, and auto insurance data.","Seattle, WA","$106,288 - $172,800 a year","Assistant Director, Data Science"
117,US Internal Revenue Service,Review statistical literature for data and research methodology appropriate for inclusion in the research process and also as a means of helping to evaluate the…,"Phoenix, AZ","$92,143 - $138,413 a year",STATISTICIAN *DIRECT HIRE*
118,KeyBank,"Provide concise data reports and clear data visualizations. You must have the ability to obtain raw data from a data lake via SAS/GCP, be familiar with data…",Remote,"$90,000 - $100,000 a year",Fraud Business Intelligence Data Analyst - Card Products
119,Booz Allen Hamilton,"Participate in partnerships with data science leaders, like our partnership with NVIDIA to deliver Deep Learning Institute (DLI) training to the federal…","Washington, DC",,"Data Scientist, Consultant"
120,Liberty Mutual Insurance,"Experience bridging the gap between engineering and data science groups. Our group excels in the ‘how' of data science – how to write repeatable code, how to…",Remote,"$155,000 - $204,000 a year","Director, Data Science & Machine Learning Operations (ML Ops)"
121,Intone Networks,There’s also a lead data scientist and the data engineering team that can support this project. Setting up a framework to figure out how to define which data is…,Remote +2 locations,,Data Scientist
122,EchoStar,Develop custom ML data models and algorithms to apply to data sets. Assess the effectiveness and accuracy of new data sources and data gathering techniques.,"Germantown, MD",,Entry Level Data Scientist
123,Delta,"Responsible for creation and validation of new data sources, including data integrity across our data structures.","Atlanta, GA",,"Strategy, Data Specialist"
124,Netflix,You have experience building and leading large and geographically distributed data science teams (100+). You have a deep technical background in applied data…,"Los Gatos, CA",,VP of Product Data Science & Engineering
125,Driveway Home Office,"1-3 years of experience in data analysis with emphasis on data and analytics. Developing and implementing data analyses, data collection systems and other…",North Carolina,,Driveway Data Analyst
126,Metropolitan Atlanta Rapid Transit Authority (MARTA),"Responsible for business analytics work through all phases, including data quality, automation, data analysis, data visualization, and presentation of results.","Atlanta, GA","$60,000 - $90,000 a year",Sr. Performance Analyst (Data Science)
127,Facebook,"People use Stories to share their day, connect with their friends, and interact with content they love. This person will be tackling highly ambiguous problems…",Remote +3 locations,,Data Scientist - Instagram Stories
128,Cambium Learning Group,"Integrate data from multiple data sets, analyze and interpret complex data sets and make findings relevant and actionable for both internal and external…",Remote +1 location,,Data Analyst I
129,The Voter Participation Center / Center for Voter Information,"Previous experience in political data. Previous experience crafting narratives from unstructured data. Collect, clean, and process data sets.","Washington, DC","$65,000 - $75,000 a year",Data Analyst
130,Microsoft,"You will be part of an ambitious plan to reshape human-computer interaction with conversational AI. Improve the speech output quality in terms of naturalness,…","Redmond, WA",,Full Time Opportunities for PhD Students and Recent Graduates - Natural Language Processing
131,Florida Blue,"Intermediate Excel skills Desire to continue to improve computational, statistical, behavioral and data science skills. Knowledge of R is a plus.",United States,,Analyst Behavioral Science & Analytics
132,O'Neil Global Advisors,"Provide support to our data science and investment management teams. Document the data sets in Confluence. Build, clean, and transform various time series data…",Remote,,Quantitative Analyst
133,Walmart,"Bachelor's degree in data science, applied mathematics, computer science or otherwise research-based field; Master’s degree required.","Dallas, TX +2 locations",,Data Scientist
134,"Interos, Inc.",Developing custom data models and algorithms to apply to data sets. Assessing the effectiveness and accuracy of new data sources and data gathering techniques.,Virginia,,Associate Data Scientist
135,Passion,"Degree in computer science, data science, or equivalent education and experience preferred. Assists with providing data driven solutions.","Atlanta, GA",,Data Analyst
136,Instacart,Investigate and solve complex data issues such as data bugs that impact critical metrics. Deploy data quality checks and ensure high quality of dashboards and…,"San Francisco, CA",,Business Intelligence Analyst
137,PagerDuty,"Demonstrated experience with data modeling, database design, extract transform load (ETL) processes, working with unstructured data, and cloud-based data…",California,,"Staff Data Engineer, Machine Learning Infrastructure"
138,Innovyt,"In this role, you will work on some of the latest applications of data science to business. We are looking for candidates with minimum of 3-5 years of…","San Jose, CA +1 location","$110,000 - $150,000 a year",Data Scientist (Life Science)
139,Delta Faucet Company,We are seeking a data scientist or statistician to: Deliver a plan of action for promotions that is data driven.,Remote +1 location,"$80,000 - $100,000 a year",Data Scientist - Pricing/Finance
140,Thyme Care,Combating data engineering and data accuracy issues proactively by helping to build out pipelines and proper data testing.,Remote,,Data Scientist
141,Rx Marketing Group,"Bachelor’s degree in data science, statistics, computer sciences, information management, or another quantitative field.",Remote,,Junior Media Analyst
142,DataRobot,Familiarity with data platform technology integrations. Act as a trusted advisor on AI across the customer lifecycle; build champions by enabling customers to…,Georgia +14 locations,,Pre-Sales Data Science
143,"Data-Core System, Inc.","Alongside, we plan to generate a portfolio of products and services related to decision making by corporate CFOs and fund CIOs, unavailable till now without…","Philadelphia, PA","$50,000 a year",Machine Learning Engineer
144,Geospark Analytics,"We are a small team where you will have autonomy to create, train, test, develop, and deploy new models on a regular basis.",United States,,Data Scientist
145,EpochGeo,"Our developers, analysts, and data scientists have a proven track record applying open-source innovative technology, data science, and actionable analytics to…","Washington, DC +1 location","$100,000 - $200,000 a year",Geospatial Data Scientist/Analyst
146,Applecart,"Interest in or passion for politics, the legislative process, technology, data analytics, and data science. Partner with other data analysts to build predictive…","New York, NY",,"Data Analyst Fellow, Politics & Advocacy"
147,MMIT,"Experience analyzing large healthcare data sets, such as claims and formulary coverage data, and synthesize patterns into actionable feedback to Product and…","Yardley, PA",,"Data Analyst, Data Services"
148,Bloom Insurance,Knowledge of data science technologies is a plus. Able to generate ad hoc data on demand. Design data models and develop database structures in Microsoft SQL…,"Bloomington, IN",,Data Engineer L1 - Remote
149,"JPMorgan Chase Bank, N.A.","Aggregate data and perform data preprocessing. 0-3 years of related data science/research experience. A demonstrable interest in data science, financial markets…","New York, NY",,Asset Management - Equities - Data Science - Associate
150,Eleanor Health,"Be the data expert supporting cross-functional teams, gathering data from various sources, and building automated reporting to democratize data across the…",Massachusetts,,Senior Data Analyst
151,FocusKPI Inc.,"Ability to communicate and explain data science concepts to diverse audiences, craft a compelling story. Fluency in data and scripting languages (SQL, Python…","Mountain View, CA",,Data Scientist
152,"Majestic Steel USA, Inc.","Design, build and validate data models in BI platform. Work with DBA’s to construct architectural data solutions. Skilled in SQL and relational databases.","Pepper Pike, OH",,BI Analyst
153,University of Washington,"Bring together data, analytic engines, and data visualizations in one seamless computational process. Create and document efficient, effective, and replicable…","Seattle, WA",,DATA ANALYST
154,"HelioCampus, Inc.","As a BI Engineer you will be responsible for designing, building and testing our reporting platform with a focus on data modeling and manipulation to create…","Chapel Hill, NC",,Business Intelligence (BI) Engineer - Entry Level
155,Akoya Biosciences,May be asked to participate in academic data analysis collaborations. Design implement and test new tools for CODEX and Phenoptics data analysis.,Remote,,Bioinformatician
156,"Barr Air Patrol, LLC","DO NOT APPLY IF YOU DO NOT HAVE EXTENSIVE EXPERIENCE USING AI TO ANALYZE IMAGERY, CLASSIFY IMAGES, BUILDING AND TRAINING ALGORITHMS.",Remote,,Artificial Intelligence Specialist
157,Explorium,"Familiarity with data science concepts such as data acquisition and cleaning, the major types of machine learning models used in business contexts, and model…","New York, NY",,Data Science Sales Engineer
158,Gap Inc.,Navigate various data sources and efficiently locate data in a complex data ecosystem. This position will be part of the Data Science Engineering team at Gap…,United States,,Associate Data Science Engineer
159,Launch Potato,This is your opportunity to tell us what you're looking for. If we open a role that is a fit we will reach out. Apply today if you truly believe in our core…,"Delray Beach, FL",,Data & Analytics
160,Elexis Ventures,"Data science: 6 years (Preferred). In-depth knowledge of algorithms, design patterns and data structures. Use Machine Learning algorithms and techniques for…",Remote,"$140,000 - $160,000 a year",Data Scientist
161,Nousot,"Brainstorm, test, and optimize machine learning and data science solutions. A passion for solving problems with data. Experience with Python and SQL.",Remote,"$120,000 - $180,000 a year",Machine Learning Software Engineer
162,AllianceBernstein,Computer Sciences degree with data analysis/data science concentration. Review/QC data to ensure accuracy of attribution reports.,"Nashville, TN",,Global Analytics Associate
163,Abt Associates,Ability to run queries and correlate data. Abt Associates seeks a qualified SOC Analyst to support the Data Science and Survey and Enabling Technologies…,"Alexandria, VA",,SOC Analyst
164,Infectious Disease Connect,Identify data sources needed to produce required data sets or reports and extract appropriate subsets of data. Proficient in SQL and custom queries.,"Cranberry Township, PA","$75,000 - $100,000 a year",Business and Reporting Analyst
165,GHX,Identify patterns and connections across varying data sets to enrich master data lists and enhance data processing. Familiarity with ETL tools is a plus.,Remote,"$83,000 - $88,000 a year",Data Analyst III - MDM
