index,title,skills,company,city,state,type,salary,salary_type,sal_min,sal_max,sal_median,posted_date,origin
0,Data Engineer - Flink,Flink,Amazon,San Diego,CA,Onsite,$72 - $80 an hour,hourly,72,80,76,,simplyhired.com
1,Data Engineer with Data Analytics Background,,Claritas,Cincinnati,OH,Onsite,$70000 - $100000,yearly,70000,100000,85000,,simplyhired.com
2,Data Engineer,,"Maas Energy Works, Inc",Redding,CA,Onsite,$24 - $46 an hour,hourly,24,46,35,,simplyhired.com
3,Telecommunications & Data Field Engineer,,Redwood Systems INC,Chicago,IL,Onsite,$45000 - $57000,yearly,45000,57000,51000,,simplyhired.com
4,AWS Data Engineer,AWS,KPI Partners,,,Remote,$140000 - $160000,yearly,140000,160000,150000,,simplyhired.com
5,Data Center Engineer,,Ryzen Solutions,Foster City,CA,Onsite,$85 - $90 an hour,hourly,85,90,87.5,,simplyhired.com
6,Data Engineer,,Ghritachi Inc,Dallas,TX,Onsite,$50 - $55 an hour,hourly,50,55,52.5,,simplyhired.com
7,Data Engineer,,Fuge Technologies Inc,West Hollywood,CA,Onsite,$60 - $65 an hour,hourly,60,65,62.5,,simplyhired.com
8,Sr. Data Engineer,,RelMap Consulting,Addison,TX,Hybrid,$70 - $80 an hour,hourly,70,80,75,,simplyhired.com
9,Facilities Engineer - Data Center/Mission Critical Environment,,fifteenfortyseven Critical Systems Realty,Portland,OR,Onsite,From $21 an hour,hourly,21,,,,simplyhired.com
10,Data Center Engineer,,The DAVIS Companies,,MA,Onsite,,yearly,,,,,simplyhired.com
11,Data Engineer,,Titan America,Roanoke,VA,Onsite,$75000 - $85000,yearly,75000,85000,80000,,simplyhired.com
12,Azure Data Engineer,Azure,Integration Developer Network LLC,,,Remote,$70 - $75 an hour,hourly,70,75,72.5,,simplyhired.com
13,Data Engineer,,Peach IT Professionals,Braham,MN,Onsite,$40 - $70 an hour,hourly,40,70,55,,simplyhired.com
14,Data Engineer,,Infoway solutions LLC,Santa Clara,CA,Onsite,Up to $68 an hour,hourly,,68,,,simplyhired.com
15,Data Engineer,,Integration Developer Network LLC,Houston,TX,Onsite,$65 - $70 an hour,hourly,65,70,67.5,,simplyhired.com
16,Data Engineer,,Gridiron IT,Washington,DC,Onsite,$65 - $75 an hour,hourly,65,75,70,,simplyhired.com
17,Lead Data Engineer,,The Oncology Institute of Hope and Innovation,Cerritos,CA,Onsite,$119000 - $150000,yearly,119000,150000,134500,,simplyhired.com
18,Data Engineer,,"Bluemont Technology & Research, Inc.",Norfolk,VA,Onsite,$90000 - $130000,yearly,90000,130000,110000,,simplyhired.com
19,Data Engineer,,Core Civic,Brentwood,TN,Onsite,,yearly,,,,,simplyhired.com
20,Data Link Engineer,,Avionics Test and Analysis Corporation,Edwards AFB,CA,Onsite,$100000 - $120000,yearly,100000,120000,110000,,simplyhired.com
21,Sr. Data Engineer,,Beacon Hill Staffing Group,Milwaukee,WI,Onsite,$64300 - $81500,yearly,64300,81500,72900,,simplyhired.com
22,Data Center Engineer,,Ryzen Solutions,Foster City,CA,Onsite,$85 - $90 an hour,hourly,85,90,87.5,,simplyhired.com
23,Platform & Data Engineer,,Chelan County Public Utility District,Wenatchee,WA,Onsite,$70560 - $129600,yearly,70560,129600,100080,,simplyhired.com
24,Implementation Data Engineer,,Vision Government Solutions,East Coast,,Remote,$89600 - $113000,yearly,89600,113000,101300,,simplyhired.com
25,Data Engineer,,Blueprint Strategic Advisory Partners,Warrington,PA,Onsite,$80000 - $85000,yearly,80000,85000,82500,,simplyhired.com
26,Data Engineer,,Fuge Technologies Inc,West Hollywood,CA,Onsite,$60 - $65 an hour,hourly,60,65,62.5,,simplyhired.com
27,Sr. Data Engineer,,RelMap Consulting,Addison,TX,Hybrid,$70 - $80 an hour,hourly,70,80,75,,simplyhired.com
28,Azure Data Engineer,Azure,Integration Developer Network LLC,,,Remote,$70 - $75 an hour,hourly,70,75,72.5,,simplyhired.com
29,Data Engineer,,Infoway solutions LLC,Santa Clara,CA,Onsite,Up to $68 an hour,hourly,,68,,,simplyhired.com
30,Data Engineer,,Integration Developer Network LLC,Houston,TX,Onsite,$65 - $70 an hour,hourly,65,70,67.5,,simplyhired.com
31,Senior Data Center Network Engineer,,WEI,Salem,NH,Onsite,$150000 - $200000,yearly,150000,200000,175000,,simplyhired.com
32,Data Engineer,,Bay & Bay Transportation,Eagan,MN,Onsite,$100000 - $150000,yearly,100000,150000,125000,,simplyhired.com
33,Data Engineer,,Zoll Medical Corporation,Broomfield,CO,Onsite,$125000 - $140000,yearly,125000,140000,132500,,simplyhired.com
34,Data Engineer,,Gridiron IT,Washington,DC,Onsite,$65 - $75 an hour,hourly,65,75,70,,simplyhired.com
35,Data Engineer,,West Shore Home,,,Remote,$80000 - $120000,yearly,80000,120000,100000,,simplyhired.com
36,Data Engineer,,Konnectingtree,,,Remote,$45 - $50 an hour,hourly,45,50,47.5,,simplyhired.com
37,Data Engineer,,Wheels Up,,USA,Onsite,$100000 - $250000,yearly,100000,250000,175000,,simplyhired.com
38,Data Engineer,,Fastechnowiz Solutions Inc,Westlake,TX,Onsite,$57.63 - $65.00 an hour,hourly,57.63,65,61.32,,simplyhired.com
39,"Building Engineer (Night Shift, Critical Data Centers) (23000727)",,Newmark,Alpharetta,GA,Onsite,$27 - $29 an hour,hourly,27,29,28,,simplyhired.com
40,Data Center Engineer - DE,,Randstad Technologies,Bear,DE,Onsite,,yearly,,,,,simplyhired.com
41,Telecommunications Engineer Data,,Adept Consulting Services,Pennsylvania,,Onsite,$100000 - $120000,yearly,100000,120000,110000,,simplyhired.com
42,Data Center HVAC Facilities Engineer,,Sabey Data Centers,Quincy,WA,Onsite,$58536 - $71707,yearly,58536,71707,65121.5,,simplyhired.com
43,Data Engineer,,Amplify Resources Group,Orlando,FL,Onsite,$109305 - $140000,yearly,109305,140000,124652.5,,simplyhired.com
44,Data Center Engineer,,Ryzen Solutions,Foster City,CA,Onsite,$85 - $90 an hour,hourly,85,90,87.5,,simplyhired.com
45,Data Pipeline Engineer,,"iSpecimen, Inc.",Lexington,MA,Onsite,$90000 - $120000,yearly,90000,120000,105000,,simplyhired.com
46,Building Engineer - Data Center,,Paragon Services Engineering,San Diego,CA,Onsite,$30 - $44 an hour,hourly,30,44,37,,simplyhired.com
47,Software & Data Analytics Engineer,,FacilityConneX,Nashua,NH,Onsite,$90000 - $114000,yearly,90000,114000,102000,,simplyhired.com
48,Data Engineer,,Fuge Technologies Inc,West Hollywood,CA,Onsite,$60 - $65 an hour,hourly,60,65,62.5,,simplyhired.com
49,Azure Data Engineer,Azure,Integration Developer Network LLC,,,Remote,$70 - $75 an hour,hourly,70,75,72.5,,simplyhired.com
50,Data Engineer,,Infoway solutions LLC,Santa Clara,CA,Onsite,Up to $68 an hour,hourly,,68,,,simplyhired.com
51,Data Engineer,,Integration Developer Network LLC,Houston,TX,Onsite,$65 - $70 an hour,hourly,65,70,67.5,,simplyhired.com
52,Data Engineer,,West Shore Home,,,Remote,$80000 - $120000,yearly,80000,120000,100000,,simplyhired.com
53,Data Engineer - Pyspark,PySpark,Hertz,Estero,FL,Onsite,,yearly,,,,,simplyhired.com
54,Data Engineer I - Cannabis Industry,,IGS Solutions LLC,Los Angeles,CA,Onsite,$68000 - $78000,yearly,68000,78000,73000,,simplyhired.com
55,Data Engineer,,Sound,Tukwila,WA,Onsite,$60800- $77000,yearly,60800,77000,68900,,simplyhired.com
56,Data Engineer,,Konnectingtree,,,Remote,$45 - $50 an hour,hourly,45,50,47.5,,simplyhired.com
57,Data Engineer,,Wheels Up,,USA,Onsite,$100000 - $250000,yearly,100000,250000,175000,,simplyhired.com
58,Data Engineer,,Fastechnowiz Solutions Inc,Westlake,TX,Onsite,$57.63 - $65.00 an hour,hourly,57.63,65,61.32,,simplyhired.com
59,Data Engineer,,BlueCross BlueShield of Tennessee,Chattanooga,TN,Onsite,$81300 - $103000,yearly,81300,103000,92150,,simplyhired.com
60,Data Engineer,,Genuent,,,Remote,"$130,000 ",yearly,130000,,,,simplyhired.com
61,Senior Data Center Infrastructure Engineer,,MJHS,Brooklyn,NY,Onsite,$64500 - $81700,yearly,64500,81700,73100,,simplyhired.com
62,Data Engineer,,Thomas-Matthew Associates,,,Remote,$115000 - $130000,yearly,115000,130000,122500,,simplyhired.com
63,"Data Center Facilities Engineer, Electrical",,Sabey Corporation,Quincy,WA,Onsite,$58536 - $71707,yearly,58536,71707,65121.5,,simplyhired.com
64,Data Engineer - Scala/Python (Engineer 3),Scala,Python,Philadelphia,PA,Onsite,,yearly,,,,,simplyhired.com
65,Sr Data Engineer,,Hertz,Estero,FL,Onsite,,yearly,,,,,simplyhired.com
66,Data Center Engineer,,Ryzen Solutions,Foster City,CA,Onsite,$85 - $90 an hour,hourly,85,90,87.5,,simplyhired.com
67,Senior Data Engineer,,Jobot,Thousand Oaks,CA,Onsite,$130000 - $180000,yearly,130000,180000,155000,,simplyhired.com
68,Data Engineer,,Alltech Inc,Nicholasville,KY,Onsite,$98600 - $12500,yearly,98600,12500,55550,,simplyhired.com
69,Frontend Big Data Engineer - PySpark,PySpark,Logic20/20 Inc.,,,Remote,$130000 - $162500,yearly,130000,162500,146250,,simplyhired.com
70,Data Engineer,,Fuge Technologies Inc,West Hollywood,CA,Onsite,$60 - $65 an hour,hourly,60,65,62.5,,simplyhired.com
71,Data Engineer,,Infoway solutions LLC,Santa Clara,CA,Onsite,Up to $68 an hour,hourly,,68,,,simplyhired.com
72,Data Engineer,,Integration Developer Network LLC,Houston,TX,Onsite,$65 - $70 an hour,hourly,65,70,67.5,,simplyhired.com
73,Data Engineer,,West Shore Home,,,Remote,$80000 - $120000,yearly,80000,120000,100000,,simplyhired.com
74,Data Engineer,,Konnectingtree,,,Remote,$45 - $50 an hour,hourly,45,50,47.5,,simplyhired.com
75,Data Engineer,,Delaware North,Buffalo,NY,Onsite,$70700 - $93700,yearly,70700,93700,82200,,simplyhired.com
76,Enterprise Data Engineer,,Insperity,Kingwood,TX,Onsite,$78800 - $89100,yearly,78800,89100,83950,,simplyhired.com
77,Sr. Data Engineer - Microsoft & AWS Environment,"Microsoft, AWS Environment",Comcast,Philadelphia,PA,Onsite,,yearly,,,,,simplyhired.com
78,Data Engineer,,Wheels Up,,USA,Onsite,$100000 - $250000,yearly,100000,250000,175000,,simplyhired.com
79,Data Engineer,,Fastechnowiz Solutions Inc,Westlake,TX,Onsite,$57.63 - $65.00 an hour,hourly,57.63,65,61.32,,simplyhired.com
80,Data Engineer,,Mericaninc,Atlanta,GA,Onsite,$60 - $65 an hour,hourly,60,65,62.5,,simplyhired.com
81,Data Engineer,,infinity quest,Seattle,WA,Onsite,$65 an hour,hourly,65,,,,simplyhired.com
82,GCP Data Engineer,,Talent Groups,,,Remote,$140000 - $150000,yearly,140000,150000,145000,,simplyhired.com
83,Data Engineer,,Idaho Central Credit Union,Chubbuck,ID,Onsite,$78300 - $99100,yearly,78300,99100,88700,,simplyhired.com
84,Data Engineer,,"Bluemont Technology & Research, Inc.",Norfolk,VA,Onsite,$90000 - $130000,yearly,90000,130000,110000,,simplyhired.com
85,"Data Engineer II/Senior Data Engineer, Cloud Solutions Development",Cloud Solutions Development,United Therapeutics,Research Triangle Park,NC,Onsite,$97500 - $12300,yearly,97500,12300,54900,,simplyhired.com
86,Data Engineer,,Core Civic,Brentwood,TN,Onsite,,yearly,,,,,simplyhired.com
87,Data Engineer II,,DISH,Englewood,CO,Onsite,,yearly,,,,,simplyhired.com
88,Data Center Engineer,,Ryzen Solutions,Foster City,CA,Onsite,$85 - $90 an hour,hourly,85,90,87.5,,simplyhired.com
89,Data Link Engineer,,Avionics Test and Analysis Corporation,Edwards AFB,CA,Onsite,$100000 - $120000,yearly,100000,120000,110000,,simplyhired.com
90,Staff Data Engineer,,Eaze,,,Remote,$140000 - $220000,yearly,140000,220000,180000,,simplyhired.com
91,Sr. Data Engineer,,Beacon Hill Staffing Group,Milwaukee,WI,Onsite,$64300 - $81500,yearly,64300,81500,72900,,simplyhired.com
92,Data Engineer,,Fuge Technologies Inc,West Hollywood,CA,Onsite,$60 - $65 an hour,hourly,60,65,62.5,,simplyhired.com
93,Data Engineer,,Infoway solutions LLC,Santa Clara,CA,Onsite,Up to $68 an hour,hourly,,68,,,simplyhired.com
94,Data Engineer,,Konnectingtree,,,Remote,$45 - $50 an hour,hourly,45,50,47.5,,simplyhired.com
95,Data Engineer,,Wheels Up,,USA,Onsite,$100000 - $250000,yearly,100000,250000,175000,,simplyhired.com
96,Data Engineer,,Fastechnowiz Solutions Inc,Westlake,TX,Onsite,$57.63 - $65.00 an hour,hourly,57.63,65,61.32,,simplyhired.com
97,Data Engineer,,"Nutrisystem, Inc.",Fort Washington,PA,Onsite,$117000 - $148000,yearly,117000,148000,132500,,simplyhired.com
98,Data Engineer,"AWS, Cloud, Python, Snowflake","The Travelers Companies, Inc.",Hartford,CT,Onsite,,yearly,,,,,simplyhired.com
99,Cloud Data Engineer I,"AWS, Python, Snowflake, SQL","The Travelers Companies, Inc.",Hartford,CT,Onsite,,yearly,,,,,simplyhired.com
100,Data Engineer,,Mericaninc,Atlanta,GA,Onsite,$60 - $65 an hour,hourly,60,65,62.5,,simplyhired.com
101,Data Engineer,,infinity quest,Seattle,WA,Onsite,$65 an hour,hourly,65,,,,simplyhired.com
102,GCP Data Engineer,,Talent Groups,,,Remote,$140000 - $150000,yearly,140000,150000,145000,,simplyhired.com
103,Junior Data Engineer,,"Link Technologies, Inc.",Las Vegas,NV,Onsite,$64134 - $178786,yearly,64134,178786,121460,,simplyhired.com
104,Data Pipeline Engineer,,Fuge Technologies Inc,McLean,VA,Onsite,$65 - $70 an hour,hourly,65,70,67.5,,simplyhired.com
105,Platform & Data Engineer,,Chelan County Public Utility District,Wenatchee,WA,Onsite,$70560 - $129600,yearly,70560,129600,100080,,simplyhired.com
106,Data Engineer,,Ensemble Health Partners,,,Remote,$85600 - $10800,yearly,85600,10800,48200,,simplyhired.com
107,Senior Software Engineer - Data Platform - Bloomberg Second Measure,,Bloomberg,New York,NY,Onsite,$160000 - $240000,yearly,160000,240000,200000,,simplyhired.com
108,Implementation Data Engineer (East Coast),,Vision Government Solutions,,,Remote,$89600 - $11300,yearly,89600,11300,50450,,simplyhired.com
109,Data Engineer (MDM),,Onebridge,Indianapolis,IN,Onsite,$106000 - $134000,yearly,106000,134000,120000,,simplyhired.com
110,Data Center Engineer,,Ryzen Solutions,Foster City,CA,Onsite,$85 - $90 an hour,hourly,85,90,87.5,,simplyhired.com
111,Data Engineer (MDM),,Onebridge,Indianapolis,IN,Onsite,$106000 - $134000,yearly,106000,134000,120000,,simplyhired.com
112,Data Engineer,,Medline Industries Inc,Chicago,IL,Hybrid,$89600 - $11300,yearly,89600,11300,50450,,simplyhired.com
113,"Senior Data Engineer, MLOps",ML,Jobot,New York,NY,Onsite,$140000 - $185000,yearly,140000,185000,162500,,simplyhired.com
114,Data Engineer,,Fuge Technologies Inc,West Hollywood,CA,Onsite,$60 - $65 an hour,hourly,60,65,62.5,,simplyhired.com
115,Data Engineer,,Wheels Up,,USA,Onsite,$100000 - $250000,yearly,100000,250000,175000,,simplyhired.com
116,Data Engineer,,Mericaninc,Atlanta,GA,Onsite,$60 - $65 an hour,hourly,60,65,62.5,,simplyhired.com
117,GCP Data Engineer,,Talent Groups,,,Remote,$140000 - $150000,yearly,140000,150000,145000,,simplyhired.com
118,Junior Data Engineer,,"Link Technologies, Inc.",Las Vegas,NV,Onsite,$64134 - $178786,yearly,64134,178786,121460,,simplyhired.com
119,Advanced Data Engineer,,Wintrust Financial,Rosemont,IL,Onsite,$100000 - $127000,yearly,100000,127000,113500,,simplyhired.com
120,Python/Data Infrastructure Engineer,Python,Jobot,Washington,DC,Onsite,$120000 - $170000,yearly,120000,170000,145000,,simplyhired.com
121,Data Engineer,,Blueprint Strategic Advisory Partners,Warrington,PA,Onsite,$80000 - $85000,yearly,80000,85000,82500,,simplyhired.com
122,AWS Data Engineer,AWS,Sthavirsoft Inc,Trenton,NJ,Onsite,$50 - $65 an hour,hourly,50,65,57.5,,simplyhired.com
123,Data Engineer Level 3,,Infoorigin Inc,,,Remote,From $60 an hour,hourly,60,,,,simplyhired.com
124,AWS Data Engineer,AWS,Oxfaa Pvt.Ltd,Trenton,NJ,Onsite,$75 - $80 an hour,hourly,75,80,77.5,,simplyhired.com
125,Data Engineer IC4 - 266,,Braintrust,San Francisco,CA,Onsite,$110 - $127 an hour,hourly,110,127,118.5,,simplyhired.com
126,Data Engineer (Scala),Scala,ERPMark Inc,Bentonville,AR,Onsite,$60 - $65 an hour,hourly,60,65,62.5,,simplyhired.com
127,Lead Data Engineer,,Delaware North,Buffalo,NY,Onsite,$91700 - $123900,yearly,91700,123900,107800,,simplyhired.com
128,Senior Software Engineer - Data Entitlement (Contractor),,Bloomberg,New York,NY,Contractor,$1200 - $1300 a day,daily,1200,1300 a day,1200,,simplyhired.com
129,ETL Spatial Data Engineer,,"ESRI, Inc.",Redlands,CA,Onsite,$72800 - $124800,yearly,72800,124800,98800,,simplyhired.com
130,Senior Data Engineer,,Unleashed Brands,Bedford,TX,Onsite,$98500 - $12500,yearly,98500,12500,55500,,simplyhired.com
131,"Sr. Data Engineer (Python, Flink)","Python, Flink",Motion Recruitment,Irvine,CA,Onsite,$150000 - $220000,yearly,150000,220000,185000,,simplyhired.com
132,Data Center Engineer,,Ryzen Solutions,Foster City,CA,Onsite,$85 - $90 an hour,hourly,85,90,87.5,,simplyhired.com
133,Data Engineer,,Fuge Technologies Inc,West Hollywood,CA,Onsite,$60 - $65 an hour,hourly,60,65,62.5,,simplyhired.com
134,Data Engineer,,Wheels Up,,USA,Onsite,$100000 - $250000,yearly,100000,250000,175000,,simplyhired.com
135,GCP Data Engineer,,Talent Groups,,,Remote,$140000 - $150000,yearly,140000,150000,145000,,simplyhired.com
136,Junior Data Engineer,,"Link Technologies, Inc.",Las Vegas,NV,Onsite,$64134 - $178786,yearly,64134,178786,121460,,simplyhired.com
137,AWS Data Engineer,AWS,Sthavirsoft Inc,Trenton,NJ,Onsite,$50 - $65 an hour,hourly,50,65,57.5,,simplyhired.com
138,AWS Data Engineer,AWS,Oxfaa Pvt.Ltd,Trenton,NJ,Onsite,$75 - $80 an hour,hourly,75,80,77.5,,simplyhired.com
139,Data Engineer IC4 - 266,,Braintrust,San Francisco,CA,Onsite,$110 - $127 an hour,hourly,110,127,118.5,,simplyhired.com
140,Data Engineer (Scala),Scala,ERPMark Inc,Bentonville,AR,Onsite,$60 - $65 an hour,hourly,60,65,62.5,,simplyhired.com
141,Senior Data Engineer,,Stellar Inc.,Plano,TX,Onsite,$75 an hour,hourly,75,,,,simplyhired.com
142,Big Data Operations Engineer,,apalepu@aagama.com,Dallas,TX,Onsite,$65 - $75 an hour,hourly,65,75,70,,simplyhired.com
143,Data Center Engineer,,Ryzen Solutions,Foster City,CA,Onsite,$85 - $90 an hour,hourly,85,90,87.5,,simplyhired.com
144,Data Engineer,,General Electric Credit Union,Cincinnati,OH,Onsite,$85200 - $10800,yearly,85200,10800,48000,,simplyhired.com
145,Data Engineer,,Jobot,Los Angeles,CA,Hybrid,$120000 - $150000,yearly,120000,150000,135000,,simplyhired.com
146,Sr. Data Engineer,,Hayward Industries,Charlotte,NC,Onsite,$114000 - $145000,yearly,114000,145000,129500,,simplyhired.com
147,Data Engineer,,Fuge Technologies Inc,West Hollywood,CA,Onsite,$60 - $65 an hour,hourly,60,65,62.5,,simplyhired.com
148,Data Engineer,,Wheels Up,,USA,Onsite,$100000 - $250000,yearly,100000,250000,175000,,simplyhired.com
149,Junior Data Engineer,,"Link Technologies, Inc.",Las Vegas,NV,Onsite,$64134 - $178786,yearly,64134,178786,121460,,simplyhired.com
150,AWS Data Engineer,AWS,Sthavirsoft Inc,Trenton,NJ,Onsite,$50 - $65 an hour,hourly,50,65,57.5,,simplyhired.com
151,AWS Data Engineer,AWS,Oxfaa Pvt.Ltd,Trenton,NJ,Onsite,$75 - $80 an hour,hourly,75,80,77.5,,simplyhired.com
152,"Data Engineer, Software Development & Engineering",,Comcast,Englewood,CO,Onsite,,yearly,,,,,simplyhired.com
153,Data Engineer,,Zoll Medical Corporation,Broomfield,CO,Onsite,$125000 - $140000,yearly,125000,140000,132500,,simplyhired.com
154,"Building Engineer (Night Shift, Critical Data Centers) (23000727)",,Newmark,Alpharetta,GA,Onsite,$27 - $29 an hour,hourly,27,29,28,,simplyhired.com
155,Data Engineer IC4 - 266,,Braintrust,San Francisco,CA,Onsite,$110 - $127 an hour,hourly,110,127,118.5,,simplyhired.com
156,Data Engineer (Scala),Scala,ERPMark Inc,Bentonville,AR,Onsite,$60 - $65 an hour,hourly,60,65,62.5,,simplyhired.com
157,Senior Data Engineer,,Stellar Inc.,Plano,TX,Onsite,$75 an hour,hourly,75,,,,simplyhired.com
158,Big Data Operations Engineer,,apalepu@aagama.com,Dallas,TX,Onsite,$65 - $75 an hour,hourly,65,75,70,,simplyhired.com
159,Data Engineer with PL/SQL Developer,"PL, SQL",Integration Developer Network LLC,Houston,TX,Onsite,$65 - $75 an hour,hourly,65,75,70,,simplyhired.com
160,Wing Data Simulator Software Engineer,,Belcan,Colorado Springs,CO,Onsite,$57.93 an hour,hourly,57.93,,,,simplyhired.com
161,Project Engineer- Data Center,,"Cupertino Electric, Inc.",Columbus,OH,Onsite,$65000 - $85000,yearly,65000,85000,75000,,simplyhired.com
162,Data Center Engineer,,Randstad Technologies,Bear,DE,Onsite,,yearly,,,,,simplyhired.com
163,Data Engineer,,"BizTek People, Inc.",Beaverton,OR,Onsite,$80 - $86 an hour,hourly,80,86,83,,simplyhired.com
164,Telecommunications Engineer Data,,Adept Consulting Services,Pennsylvania,,Onsite,$100000 - $120000,yearly,100000,120000,110000,,simplyhired.com
165,Data Engineer,,Fuge Technologies Inc,West Hollywood,CA,Onsite,$60 - $65 an hour,hourly,60,65,62.5,,simplyhired.com
166,Data Engineer,,Wheels Up,,USA,Onsite,$100000 - $250000,yearly,100000,250000,175000,,simplyhired.com
167,Junior Data Engineer,,"Link Technologies, Inc.",Las Vegas,NV,Onsite,$64134 - $178786,yearly,64134,178786,121460,,simplyhired.com
168,AWS Data Engineer,AWS,Sthavirsoft Inc,Trenton,NJ,Onsite,$50 - $65 an hour,hourly,50,65,57.5,,simplyhired.com
169,AWS Data Engineer,AWS,Oxfaa Pvt.Ltd,Trenton,NJ,Onsite,$75 - $80 an hour,hourly,75,80,77.5,,simplyhired.com
170,Data Engineer IC4 - 266,,Braintrust,San Francisco,CA,Onsite,$110 - $127 an hour,hourly,110,127,118.5,,simplyhired.com
171,Data Engineer (Scala),Scala,ERPMark Inc,Bentonville,AR,Onsite,$60 - $65 an hour,hourly,60,65,62.5,,simplyhired.com
172,Senior Data Engineer,,Stellar Inc.,Plano,TX,Onsite,$75 an hour,hourly,75,,,,simplyhired.com
173,Big Data Operations Engineer,,apalepu@aagama.com,Dallas,TX,Onsite,$65 - $75 an hour,hourly,65,75,70,,simplyhired.com
174,Data Engineer with PL/SQL Developer,"PL, SQL",Integration Developer Network LLC,Houston,TX,Onsite,$65 - $75 an hour,hourly,65,75,70,,simplyhired.com
175,Snowflake Data Engineer,,Futuretech Consultants LLC,Newton,MS,Onsite,$40 - $45 an hour,hourly,40,45,42.5,,simplyhired.com
176,Data Engineer,,Fuge Technologies Inc,West Hollywood,CA,Onsite,$60 - $65 an hour,hourly,60,65,62.5,,simplyhired.com
177,Data Engineer,,Wheels Up,,USA,Onsite,$100000 - $250000,yearly,100000,250000,175000,,simplyhired.com
178,Junior Data Engineer,,"Link Technologies, Inc.",Las Vegas,NV,Onsite,$64134 - $178786,yearly,64134,178786,121460,,simplyhired.com
179,AWS Data Engineer,AWS,Sthavirsoft Inc,Trenton,NJ,Onsite,$50 - $65 an hour,hourly,50,65,57.5,,simplyhired.com
180,AWS Data Engineer,AWS,Oxfaa Pvt.Ltd,Trenton,NJ,Onsite,$75 - $80 an hour,hourly,75,80,77.5,,simplyhired.com
181,Data Engineer IC4 - 266,,Braintrust,San Francisco,CA,Onsite,$110 - $127 an hour,hourly,110,127,118.5,,simplyhired.com
182,Data Engineer (Scala),Scala,ERPMark Inc,Bentonville,AR,Onsite,$60 - $65 an hour,hourly,60,65,62.5,,simplyhired.com
183,Big Data Operations Engineer,,apalepu@aagama.com,Dallas,TX,Onsite,$65 - $75 an hour,hourly,65,75,70,,simplyhired.com
184,Data Engineer with PL/SQL Developer,"PL, SQL",Integration Developer Network LLC,Houston,TX,Onsite,$65 - $75 an hour,hourly,65,75,70,,simplyhired.com
185,Snowflake Data Engineer,Snowflake,Futuretech Consultants LLC,Newton,MS,Onsite,$40 - $45 an hour,hourly,40,45,42.5,,simplyhired.com
186,Data Engineer (Mid/Jr),,Pura,Pleasant Grove,UT,Onsite,$110000 - $139000,yearly,110000,139000,124500,,simplyhired.com
187,Business Analyst,,Locks Global Staffing LLC,San Antonio,TX,Remote,$80000 - $120000,yearly,80000,120000,100000,,simplyhired.com
188,Behavior Analyst,,Centre For Neuro Skills,Bakersfield,CA,Onsite,"$70,000 ",yearly,70000,,,,simplyhired.com
189,AOT Data Analyst II - Performance Team,,State of Vermont,Barre,VT,Onsite,,yearly,,,,,simplyhired.com
190,Junior Data Analyst/ Sales Support,,"Geo-Med, LLC",Lake Mary,FL,Onsite,$22 - $26 an hour,hourly,22,26,24,,simplyhired.com
191,Data Analyst,,Wilson Elser,White Plains,NY,Onsite,$65000 - $85000,yearly,65000,85000,75000,,simplyhired.com
192,Data Analyst,,Phoenix Loss Control,,,Remote,$60000 - $120000,yearly,60000,120000,90000,,simplyhired.com
193,Business Data Analyst,,Tekfortune Inc,Austin,CO,Onsite,Up to $80 an hour,hourly,,80,,,simplyhired.com
194,Data Analyst,,Silent Falcon UAS Technologies,Front Royal,VA,Onsite,$59600 - $75400,yearly,59600,75400,67500,,simplyhired.com
195,Entry Level Data Analyst,,"Swivel Payment Solutions, LLC",New York,NY,Onsite,$62063 - $65095,yearly,62063,65095,63579,,simplyhired.com
196,Quality Analyst,,Hayward Area Memorial Hospital,Hayward,WI,Onsite,$38600 - $48800,yearly,38600,48800,43700,,simplyhired.com
197,Board Certified Behavior Analyst-Johnson County,,Adapt For Life,Greenwood,IN,Onsite,$63300 - $80200,yearly,63300,80200,71750,,simplyhired.com
198,Board Certified Behavior Analyst (BCBA),,Health and Behavioral Dimensions,Hallandale Beach,FL,Onsite,From $80000,yearly,80000,,,,simplyhired.com
199,Data Analyst,,"Atmosfy, Inc",,,Remote,$60000 - $90000,yearly,60000,90000,75000,,simplyhired.com
200,Data Analyst,,CoinTracker,,,Remote,$66300 - $84000,yearly,66300,84000,75150,,simplyhired.com
201,Data Analyst,,Alliance Consumer Group,,,Remote,$45000 - $50000,yearly,45000,50000,47500,,simplyhired.com
202,"Business Data Analyst  SQL, Healthcare Industry",,"PRIMUS Global Services, Inc",Dallas,TX,Remote,$67500 - $85400,yearly,67500,85400,76450,,simplyhired.com
203,Data Analyst,,Net2Aspire,,,Remote,$65000 - $80000,yearly,65000,80000,72500,,simplyhired.com
204,HR Analyst,,"Coordinated Transportation Solutions, Inc.",Trumbull,CT,Onsite,$59600 - $75400,yearly,59600,75400,67500,,simplyhired.com
205,HR Business Intelligence Analyst Sr,,Doosan Bobcat,Wahpeton,ND,Onsite,$86800 - $11000,yearly,86800,11000,48900,,simplyhired.com
206,Insurance Business Analyst,,"CSG Actuarial, LLC",Omaha,NE,Onsite,$50000 - $80000,yearly,50000,80000,65000,,simplyhired.com
207,Business Analyst,,Nelson-Jameson Inc,Marshfield,WI,Onsite,$58400 - $74000,yearly,58400,74000,66200,,simplyhired.com
